"Name","Memory","vCPUs","CPU Type","GPU Number","GPU Type","Premium Storage support","Premium Storage Caching support","Live migration support","VM generation support","Maximum Local Disks","Maximum Data Disks","Disk IOPS","Maximum Network Interface","Temporary Storage (Gb)","Expected network bandwidth (Mbps)","Low Priority cost","1 year reserved cost","3 year reserved cost","Linux Pay As You Go cost","Windows Pay As You Go cost"
"M192ids v2","2048 Gib","192","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","4096","64","80000","8","4096","30000","Unavailable","9.32409 hourly","4.50175 hourly","16.032 hourly","24.864 hourly"
"M192ims v2","4096 Gib","192","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","0","64","80000","8","0","30000","Unavailable","18.40354 hourly","8.88535 hourly","31.643 hourly","40.476 hourly"
"M192is v2","2048 Gib","192","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","0","64","80000","8","0","30000","Unavailable","9.07945 hourly","4.3836 hourly","15.611 hourly","24.444 hourly"
"M208ms v2","5700 Gib","208","Intel Xeon Platinum 8180M 2.5GHz (Skylake)","0","","True","True","False","Generation 2","4096","64","40000","8","4096","16000","Unavailable","25.95046 hourly","12.52782 hourly","44.62 hourly","54.188 hourly"
"M208s v2","2850 Gib","208","Intel Xeon Platinum 8180M 2.5GHz (Skylake)","0","","True","True","False","Generation 2","4096","64","40000","8","4096","16000","Unavailable","12.97523 hourly","6.26393 hourly","22.31 hourly","31.878 hourly"
"M32-16ms","","","","","","False","False","False","","","","","","","","Unavailable","3.53436 hourly","1.71944 hourly","6.146 hourly","8.4276 hourly"
"M32-8ms","","","","","","False","False","False","","","","","","","","Unavailable","3.53436 hourly","1.71944 hourly","6.146 hourly","8.4276 hourly"
"M32dms v2","875 Gib","32","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","1024","32","20000","8","1024","8000","Unavailable","3.57454 hourly","1.7258 hourly","6.146 hourly","7.618 hourly"
"M32ls","256 Gib","32","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","1024","32","20000/500","8","1024","8000","Unavailable","1.65228 hourly","0.80377 hourly","2.873 hourly","4.345 hourly"
"M32ms","875 Gib","32","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","1024","32","20000/500","8","1024","8000","Unavailable","3.53436 hourly","1.71944 hourly","6.146 hourly","8.4276 hourly"
"M32ms v2","875 Gib","32","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","0","32","20000","8","0","8000","Unavailable","3.51336 hourly","1.69627 hourly","6.041 hourly","7.513 hourly"
"M32ts","192 Gib","32","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","1024","32","20000/500","8","1024","8000","Unavailable","1.55674 hourly","0.75734 hourly","2.707 hourly","4.179 hourly"
"M416ms v2","11400 Gib","416","Intel Xeon Platinum 8180M 2.5GHz (Skylake)","0","","True","True","False","Generation 2","8192","64","80000","8","8192","32000","Unavailable","57.6645 hourly","27.83805 hourly","99.15 hourly","118.29 hourly"
"M416s v2","5700 Gib","416","Intel Xeon Platinum 8180M 2.5GHz (Skylake)","0","","True","True","False","Generation 2","8192","64","80000","8","8192","32000","Unavailable","28.83516 hourly","13.92043 hourly","49.58 hourly","68.716 hourly"
"M64","1024 Gib","64","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","7168","64","40000/1000","8","7168","16000","Unavailable","3.83516 hourly","1.86575 hourly","6.669 hourly","9.613 hourly"
"M64-16ms","","","","","","False","False","False","","","","","","","","Unavailable","5.94418 hourly","2.89178 hourly","10.337 hourly","14.641 hourly"
"M64-32ms","","","","","","False","False","False","","","","","","","","Unavailable","5.94418 hourly","2.89178 hourly","10.337 hourly","14.641 hourly"
"M64dms v2","1792 Gib","64","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","2048","64","40000","8","2048","16000","Unavailable","6.01381 hourly","2.90346 hourly","10.34 hourly","13.284 hourly"
"M64ds v2","1024 Gib","64","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","2048","64","40000","8","2048","16000","Unavailable","3.87865 hourly","1.87264 hourly","6.669 hourly","9.613 hourly"
"M64ls","512 Gib","64","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","2048","64","40000/1000","8","2048","16000","Unavailable","3.11404 hourly","1.51495 hourly","5.415 hourly","8.359 hourly"
"M64m","1792 Gib","64","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","7168","64","40000/1000","8","7168","16000","Unavailable","5.94418 hourly","2.89178 hourly","10.337 hourly","14.641 hourly"
"M64ms","1792 Gib","64","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","2048","64","40000/1000","8","2048","16000","Unavailable","5.94418 hourly","2.89178 hourly","10.337 hourly","14.641 hourly"
"M64ms v2","1792 Gib","64","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","0","64","40000","8","0","16000","Unavailable","5.89132 hourly","2.84441 hourly","10.13 hourly","13.073 hourly"
"M64s","1024 Gib","64","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","2048","64","40000/1000","8","2048","16000","Unavailable","3.83516 hourly","1.86575 hourly","6.669 hourly","9.613 hourly"
"M64s v2","1024 Gib","64","Intel Xeon Platinum 8280 (Cascade Lake)","0","","True","True","False","Generation 2","0","64","40000","8","0","16000","Unavailable","3.75628 hourly","1.81355 hourly","6.459 hourly","9.403 hourly"
"M8-2ms","","","","","","False","False","False","","","","","","","","Unavailable","0.88356 hourly","0.42987 hourly","1.5365 hourly","2.1069 hourly"
"M8-4ms","","","","","","False","False","False","","","","","","","","Unavailable","0.88356 hourly","0.42987 hourly","1.5365 hourly","2.1069 hourly"
"M8ms","218.75 Gib","8","Intel Xeon CPU E7-8890 v3 2.50GHz, Intel Xeon Platinum 8280M (Cascade Lake)","0","","True","True","False","Generation 1 and 2","256","8","5000/125","4","256","2000","Unavailable","0.88356 hourly","0.42987 hourly","1.5365 hourly","2.1069 hourly"
"NC12","112 Gib","12","Intel Xeon E5-2690 v3 (Haswell)","2","NVIDIA Tesla K80","False","False","False","Generation 1","680","48","0","2","680","","Unavailable","Unavailable","Unavailable","1.8 hourly","2.168 hourly"
"NC12s v2","224 Gib","12","Intel Xeon E5-2690 v4 (Broadwell)","2","NVIDIA Tesla P100 GPU","True","True","False","Generation 1 and 2","1474","24","40000","8","1474","","Unavailable","2.6371 hourly","1.83771 hourly","4.14 hourly","4.986 hourly"
"NC12s v3","224 Gib","12","Intel Xeon E5-2690 v4 (Broadwell)","2","NVIDIA Tesla V100 GPU","True","True","False","Generation 1 and 2","1474","24","40000","8","1474","","Unavailable","3.8984 hourly","1.95841 hourly","6.12 hourly","6.672 hourly"
"NC16as T4 v3","","","","","","False","False","False","","","","","","","","Unavailable","0.70799 hourly","0.4527 hourly","1.204 hourly","1.94 hourly"
"NC24","224 Gib","24","Intel Xeon E5-2690 v3 (Haswell)","4","NVIDIA Tesla K80","False","False","False","Generation 1","1440","64","0","4","1440","","Unavailable","Unavailable","Unavailable","3.6 hourly","4.336 hourly"
"NC24r","224 Gib","24","Intel Xeon E5-2690 v3 (Haswell)","4","NVIDIA Tesla K80","False","False","False","Generation 1","1440","64","0","4","1440","","Unavailable","Unavailable","Unavailable","3.96 hourly","4.77 hourly"
"NC24rs v2","448 Gib","24","Intel Xeon E5-2690 v4 (Broadwell)","4","NVIDIA Tesla P100 GPU","True","True","False","Generation 1 and 2","2948","32","80000","8","2948","","Unavailable","5.80148 hourly","4.04296 hourly","9.108 hourly","10.971 hourly"
"NC24rs v3","448 Gib","24","Intel Xeon E5-2690 v4 (Broadwell)","4","NVIDIA Tesla V100 GPU","True","True","False","Generation 1 and 2","2948","32","80000","8","2948","","Unavailable","8.5766 hourly","4.33562 hourly","13.46 hourly","14.56 hourly"
"NC24s v2","448 Gib","24","Intel Xeon E5-2690 v4 (Broadwell)","4","NVIDIA Tesla P100 GPU","True","True","False","Generation 1 and 2","2948","32","80000","8","2948","","Unavailable","5.2742 hourly","3.67546 hourly","8.28 hourly","9.972 hourly"
"NC24s v3","448 Gib","24","Intel Xeon E5-2690 v4 (Broadwell)","4","NVIDIA Tesla V100 GPU","True","True","False","Generation 1 and 2","2948","32","80000","8","2948","","Unavailable","7.79692 hourly","3.91682 hourly","12.24 hourly","13.344 hourly"
"NC4as T4 v3","","","","","","False","False","False","","","","","","","","Unavailable","0.30925 hourly","0.19779 hourly","0.526 hourly","0.71 hourly"
"NC6","56 Gib","6","Intel Xeon E5-2690 v3 (Haswell)","1","NVIDIA Tesla K80","False","False","False","Generation 1","340","24","0","1","340","","Unavailable","Unavailable","Unavailable","0.9 hourly","1.084 hourly"
"NC64as T4 v3","","","","","","False","False","False","","","","","","","","Unavailable","2.55902 hourly","1.63634 hourly","4.352 hourly","7.296 hourly"
"NC6s v2","112 Gib","6","Intel Xeon E5-2690 v4 (Broadwell)","1","NVIDIA Tesla P100 GPU","True","True","False","Generation 1 and 2","736","12","20000","4","736","","Unavailable","1.31861 hourly","0.91887 hourly","2.07 hourly","2.493 hourly"
"NC6s v3","112 Gib","6","Intel Xeon E5-2690 v4 (Broadwell)","1","NVIDIA Tesla V100 GPU","True","True","False","Generation 1 and 2","736","12","20000","4","736","","Unavailable","1.9492 hourly","0.97919 hourly","3.06 hourly","3.336 hourly"
"NC8as T4 v3","","","","","","False","False","False","","","","","","","","Unavailable","0.44212 hourly","0.28276 hourly","0.752 hourly","1.12 hourly"
"ND12s","224 Gib","12","Intel Xeon E5-2690 v4 (Broadwell)","2","NVIDIA Tesla P40","True","True","False","Generation 1 and 2","1474","24","40000/400","8","1474","","Unavailable","2.6371 hourly","1.83771 hourly","4.14 hourly","4.986 hourly"
"ND24rs","448 Gib","24","Intel Xeon E5-2690 v4 (Broadwell)","4","NVIDIA Tesla P40","True","True","False","Generation 1 and 2","2948","32","80000/800","8","2948","","Unavailable","5.80148 hourly","4.04296 hourly","9.108 hourly","10.971 hourly"
"ND24s","448 Gib","24","Intel Xeon E5-2690 v4 (Broadwell)","4","NVIDIA Tesla P40","True","True","False","Generation 1 and 2","2948","32","80000/800","8","2948","","Unavailable","5.2742 hourly","3.67546 hourly","8.28 hourly","9.972 hourly"
"ND40rs v2","","","","","","False","False","False","","","","","","","","Unavailable","10.79566 hourly","Unavailable","22.032 hourly","23.872 hourly"
"ND6s","112 Gib","6","Intel Xeon E5-2690 v4 (Broadwell)","1","NVIDIA Tesla P40","True","True","False","Generation 1 and 2","736","12","20000/200","4","736","","Unavailable","1.31861 hourly","0.91887 hourly","2.07 hourly","2.493 hourly"
"ND96amsr A100 v4","","","","","","False","False","False","","","","","","","","Unavailable","20.97283 hourly","14.4188 hourly","32.77 hourly","37.186 hourly"
"ND96asr","","","","","","False","False","False","","","","","","","","Unavailable","18.82831 hourly","10.87873 hourly","27.197 hourly","31.613 hourly"
"NP10s","168 Gib","10","Intel Xeon 3.2 Ghz 8171M (Skylake)","0","","True","True","False","Generation 1","736","8","0","1","736","7500","Unavailable","1.0411 hourly","0.7161 hourly","1.65 hourly","Unavailable"
"NP20s","336 Gib","20","Intel Xeon 3.2 Ghz 8171M (Skylake)","0","","True","True","False","Generation 1","1474","16","0","2","1474","15000","Unavailable","2.08231 hourly","1.43219 hourly","3.3 hourly","Unavailable"
"NP40s","672 Gib","40","Intel Xeon 3.2 Ghz 8171M (Skylake)","0","","True","True","False","Generation 1","2948","32","0","4","2948","30000","Unavailable","4.16461 hourly","2.86438 hourly","6.6 hourly","Unavailable"
"NV12","112 Gib","12","Intel Xeon E5-2690 v3 (Haswell)","2","NVIDIA Tesla M60","False","False","False","Generation 1","680","48","0","2","680","","Unavailable","Unavailable","Unavailable","2.28 hourly","2.88 hourly"
"NV12s v3","112 Gib","12","Intel Xeon E5-2690 v4 (Broadwell)","1","NVIDIA Tesla M60","True","True","False","Generation 1 and 2","320","12","20000/200","4","320","6000","Unavailable","0.72614 hourly","0.5016 hourly","1.14 hourly","1.692 hourly"
"NV16as v4","56 Gib","16","AMD EPYC 7V12 (Rome)","1/2","AMD Radeon Instinct MI25","True","True","False","Generation 1 and 2","","16","0","8","","4000","Unavailable","0.59646 hourly","0.41008 hourly","0.932 hourly","1.668 hourly"
"NV24","224 Gib","24","Intel Xeon E5-2690 v3 (Haswell)","4","NVIDIA Tesla M60","False","False","False","Generation 1","1440","64","0","4","1440","","Unavailable","Unavailable","Unavailable","4.56 hourly","5.761 hourly"
"NV24s v3","224 Gib","24","Intel Xeon E5-2690 v4 (Broadwell)","2","NVIDIA Tesla M60","True","True","False","Generation 1 and 2","640","24","40000/400","8","640","12000","Unavailable","1.4524 hourly","1.0032 hourly","2.28 hourly","3.384 hourly"
"NV32as v4","112 Gib","32","AMD EPYC 7V12 (Rome)","1","AMD Radeon Instinct MI25","True","True","False","Generation 1 and 2","","32","0","8","","8000","Unavailable","1.19292 hourly","0.82017 hourly","1.864 hourly","3.336 hourly"
"NV48s v3","448 Gib","48","Intel Xeon E5-2690 v4 (Broadwell)","4","NVIDIA Tesla M60","True","True","False","Generation 1 and 2","1280","32","80000/800","8","1280","24000","Unavailable","2.90468 hourly","2.00639 hourly","4.56 hourly","6.768 hourly"
"NV4as v4","14 Gib","4","AMD EPYC 7V12 (Rome)","1/8","AMD Radeon Instinct MI25","True","True","False","Generation 1 and 2","","4","0","2","","1000","Unavailable","0.14909 hourly","0.10251 hourly","0.233 hourly","0.417 hourly"
"NV6","56 Gib","6","Intel Xeon E5-2690 v3 (Haswell)","1","NVIDIA Tesla M60","False","False","False","Generation 1","340","24","0","1","340","","Unavailable","Unavailable","Unavailable","1.14 hourly","1.44 hourly"
"NV8as v4","28 Gib","8","AMD EPYC 7V12 (Rome)","1/4","AMD Radeon Instinct MI25","True","True","False","Generation 1 and 2","","8","0","4","","2000","Unavailable","0.29829 hourly","0.20502 hourly","0.466 hourly","0.834 hourly"
