"Name","Memory","vCPUs","CPU Type","GPU Number","GPU Type","Premium Storage support","Premium Storage Caching support","Live migration support","VM generation support","Maximum Local Disks","Maximum Data Disks","Disk IOPS","Maximum Network Interface","Temporary Storage (Gb)","Expected network bandwidth (Mbps)","Low Priority cost","1 year reserved cost","3 year reserved cost","Linux Pay As You Go cost","Windows Pay As You Go cost"
"E8-4s v4","","","","","","False","False","False","","","","","","","","Unavailable","0.29635 hourly","0.1895 hourly","0.504 hourly","0.872 hourly"
"E8-4s v5","","","","","","False","False","False","","","","","","","","Unavailable","0.29737 hourly","0.19151 hourly","0.504 hourly","0.872 hourly"
"E80ids v4","504 Gib","80","Intel Xeon Platinum 8272CL (Cascade Lake)","0","","True","True","True","Generation 1 and 2","2400","32","80000/1200","8","2400","30000","Unavailable","3.38584 hourly","2.16591 hourly","5.76 hourly","9.44 hourly"
"E80is v4","504 Gib","80","Intel Xeon Platinum 8272CL (Cascade Lake)","0","","True","True","True","Generation 1 and 2","Remote Storage Only","32","80000","8","Remote Storage Only","30000","Unavailable","2.96347 hourly","1.89498 hourly","5.04 hourly","8.72 hourly"
"E8a v4","64 Gib","8","AMD 2.35 Ghz EPYC 7452","0","","False","False","True","Generation 1 and 2","200","16","0","4","200","3200","Unavailable","0.29635 hourly","0.1895 hourly","0.504 hourly","0.872 hourly"
"E8ads v5","","","","","","False","False","False","","","","","","","","Unavailable","0.30913 hourly","0.19912 hourly","0.524 hourly","0.892 hourly"
"E8as v4","64 Gib","8","AMD 2.35 Ghz EPYC 7452","0","","True","True","True","Generation 1 and 2","128","16","12800","4","128","3200","Unavailable","0.29635 hourly","0.1895 hourly","0.504 hourly","0.872 hourly"
"E8as v5","","","","","","False","False","False","","","","","","","","Unavailable","0.26667 hourly","0.17177 hourly","0.452 hourly","0.82 hourly"
"E8d v4","64 Gib","8","Intel Xeon Platinum 8272CL (Cascade Lake)","0","","False","False","True","Generation 1 and 2","300","16","0","4","300","4000","Unavailable","0.3387 hourly","0.21659 hourly","0.576 hourly","0.944 hourly"
"E8d v5","","","","","","False","False","False","","","","","","","","Unavailable","0.33984 hourly","0.21887 hourly","0.576 hourly","0.944 hourly"
"E8ds v4","64 Gib","8","Intel Xeon Platinum 8272CL (Cascade Lake)","0","","True","True","True","Generation 1 and 2","300","16","12800/192","4","300","4000","Unavailable","0.3387 hourly","0.21659 hourly","0.576 hourly","0.944 hourly"
"E8ds v5","","","","","","False","False","False","","","","","","","","Unavailable","0.33984 hourly","0.21887 hourly","0.576 hourly","0.944 hourly"
"E8s v3","64 Gib","8","Intel Xeon Platinum 8272CL (Cascade Lake), Intel Xeon 8171M 2.1 GHz (Skylake), Intel Xeon E5-2673 v4 2.3 GHz (Broadwell)","0","","True","True","True","Generation 1 and 2","128","16","12800","4","128","4000","Unavailable","0.31279 hourly","0.20004 hourly","0.504 hourly","0.872 hourly"
"E8s v4","64 Gib","8","Intel Xeon Platinum 8272CL (Cascade Lake)","0","","True","True","True","Generation 1 and 2","Remote Storage Only","16","12800","4","Remote Storage Only","4000","Unavailable","0.29635 hourly","0.1895 hourly","0.504 hourly","0.872 hourly"
"E8s v5","","","","","","False","False","False","","","","","","","","Unavailable","0.29737 hourly","0.19151 hourly","0.504 hourly","0.872 hourly"
"E96 v5","","","","","","False","False","False","","","","","","","","Unavailable","3.56826 hourly","2.29825 hourly","6.048 hourly","10.464 hourly"
"E96-24ads v5","","","","","","False","False","False","","","","","","","","Unavailable","3.70993 hourly","2.38942 hourly","6.288 hourly","10.704 hourly"
"E96-24as v4","","","","","","False","False","False","","","","","","","","Unavailable","3.55628 hourly","2.27405 hourly","6.048 hourly","10.464 hourly"
"E96-24as v5","","","","","","False","False","False","","","","","","","","Unavailable","3.20011 hourly","2.06111 hourly","5.424 hourly","9.84 hourly"
"E96-24ds v5","","","","","","False","False","False","","","","","","","","Unavailable","4.07808 hourly","2.62656 hourly","6.912 hourly","11.328 hourly"
"E96-24s v5","","","","","","False","False","False","","","","","","","","Unavailable","3.56826 hourly","2.29825 hourly","6.048 hourly","10.464 hourly"
"E96-48ads v5","","","","","","False","False","False","","","","","","","","Unavailable","3.70993 hourly","2.38942 hourly","6.288 hourly","10.704 hourly"
"E96-48as v4","","","","","","False","False","False","","","","","","","","Unavailable","3.55628 hourly","2.27405 hourly","6.048 hourly","10.464 hourly"
"E96-48as v5","","","","","","False","False","False","","","","","","","","Unavailable","3.20011 hourly","2.06111 hourly","5.424 hourly","9.84 hourly"
"E96-48ds v5","","","","","","False","False","False","","","","","","","","Unavailable","4.07808 hourly","2.62656 hourly","6.912 hourly","11.328 hourly"
"E96-48s v5","","","","","","False","False","False","","","","","","","","Unavailable","3.56826 hourly","2.29825 hourly","6.048 hourly","10.464 hourly"
"E96a v4","672 Gib","96","AMD 2.35 Ghz EPYC 7452","0","","False","False","True","Generation 1 and 2","2400","32","0","8","2400","32000","Unavailable","3.55616 hourly","2.27405 hourly","6.048 hourly","10.464 hourly"
"E96ads v5","","","","","","False","False","False","","","","","","","","Unavailable","3.70993 hourly","2.38942 hourly","6.288 hourly","10.704 hourly"
"E96as v4","672 Gib","96","AMD 2.35 Ghz EPYC 7452","0","","True","True","True","Generation 1 and 2","1344","32","80000","8","1344","32000","Unavailable","3.55616 hourly","2.27405 hourly","6.048 hourly","10.464 hourly"
"E96as v5","","","","","","False","False","False","","","","","","","","Unavailable","3.20011 hourly","2.06111 hourly","5.424 hourly","9.84 hourly"
"E96d v5","","","","","","False","False","False","","","","","","","","Unavailable","4.07808 hourly","2.62656 hourly","6.912 hourly","11.328 hourly"
"E96ds v5","","","","","","False","False","False","","","","","","","","Unavailable","4.07808 hourly","2.62656 hourly","6.912 hourly","11.328 hourly"
"E96s v5","","","","","","False","False","False","","","","","","","","Unavailable","3.56826 hourly","2.29825 hourly","6.048 hourly","10.464 hourly"
"F1","2 Gib","1","Intel Xeon 2.4 GHz E5-2673 v3 (Haswell)","0","","False","False","False","Unknown","16 GB","0","0","0","16 GB","moderate","Unavailable","0.03094 hourly","0.01941 hourly","0.0497 hourly","0.0957 hourly"
"F16","32 Gib","16","Intel Xeon 2.4 GHz E5-2673 v3 (Haswell)","0","","False","False","False","Unknown","256 GB","0","0","0","256 GB","veryhigh","Unavailable","0.49658 hourly","0.3145 hourly","0.796 hourly","1.532 hourly"
"F16s","32 Gib","16","Intel Xeon 2.4 GHz E5-2673 v3 (Haswell)","0","","True","True","False","Unknown","64 GB","0","0","0","64 GB","veryhigh","Unavailable","0.49658 hourly","0.3145 hourly","0.796 hourly","1.532 hourly"
"F16s v2","32 Gib","16","Intel Xeon Platinum 8272CL (Cascade Lake) processors, Intel Xeon Platinum 8168 (Skylake)","0","","True","True","True","Generation 1 and 2","128","32","25600/380","4","128","7000","Unavailable","0.39989 hourly","0.24802 hourly","0.677 hourly","1.302 hourly"
"F1s","2 Gib","1","Intel Xeon 2.4 GHz E5-2673 v3 (Haswell)","0","","True","True","False","Unknown","4 GB","0","0","0","4 GB","moderate","Unavailable","0.03094 hourly","0.01941 hourly","0.0497 hourly","0.0957 hourly"
"F2","4 Gib","2","Intel Xeon 2.4 GHz E5-2673 v3 (Haswell)","0","","False","False","False","Unknown","32 GB","0","0","0","32 GB","high","Unavailable","0.06187 hourly","0.03881 hourly","0.099 hourly","0.192 hourly"
"F2s","4 Gib","2","Intel Xeon 2.4 GHz E5-2673 v3 (Haswell)","0","","True","True","False","Unknown","8 GB","0","0","0","8 GB","high","Unavailable","0.06187 hourly","0.03881 hourly","0.099 hourly","0.192 hourly"
"F2s v2","4 Gib","2","Intel Xeon Platinum 8272CL (Cascade Lake) processors, Intel Xeon Platinum 8168 (Skylake)","0","","True","True","True","Generation 1 and 2","16","4","3200/47","2","16","875","Unavailable","0.05 hourly","0.03101 hourly","0.0846 hourly","0.163 hourly"
"F32s v2","64 Gib","32","Intel Xeon Platinum 8272CL (Cascade Lake) processors, Intel Xeon Platinum 8168 (Skylake)","0","","True","True","True","Generation 1 and 2","256","32","51200/750","8","256","14000","Unavailable","0.79977 hourly","0.49589 hourly","1.353 hourly","2.604 hourly"
"F4","8 Gib","4","Intel Xeon 2.4 GHz E5-2673 v3 (Haswell)","0","","False","False","False","Unknown","64 GB","0","0","0","64 GB","high","Unavailable","0.12477 hourly","0.07861 hourly","0.199 hourly","0.383 hourly"
"F48s v2","96 Gib","48","Intel Xeon Platinum 8272CL (Cascade Lake) processors, Intel Xeon Platinum 8168 (Skylake)","0","","True","True","True","Generation 1 and 2","384","32","76800/1100","8","384","21000","Unavailable","1.19954 hourly","0.73234 hourly","2.03 hourly","4.24 hourly"
"F4s","8 Gib","4","Intel Xeon 2.4 GHz E5-2673 v3 (Haswell)","0","","True","True","False","Unknown","16 GB","0","0","0","16 GB","high","Unavailable","0.12477 hourly","0.07861 hourly","0.199 hourly","0.383 hourly"
"F4s v2","8 Gib","4","Intel Xeon Platinum 8272CL (Cascade Lake) processors, Intel Xeon Platinum 8168 (Skylake)","0","","True","True","True","Generation 1 and 2","32","8","6400/95","2","32","1750","Unavailable","0.1 hourly","0.06199 hourly","0.169 hourly","0.326 hourly"
"F64s v2","128 Gib","64","Intel Xeon Platinum 8272CL (Cascade Lake) processors, Intel Xeon Platinum 8168 (Skylake)","0","","True","True","True","Generation 1 and 2","512","32","80000/1100","8","512","28000","Unavailable","1.59954 hourly","0.99178 hourly","2.706 hourly","5.209 hourly"
"F72s v2","144 Gib","72","Intel Xeon Platinum 8272CL (Cascade Lake) processors, Intel Xeon Platinum 8168 (Skylake)","0","","True","True","True","Generation 1 and 2","576","32","80000/1100","8","576","30000","Unavailable","1.79932 hourly","1.11606 hourly","3.045 hourly","5.86 hourly"
"F8","16 Gib","8","Intel Xeon 2.4 GHz E5-2673 v3 (Haswell)","0","","False","False","False","Unknown","128 GB","0","0","0","128 GB","high","Unavailable","0.24772 hourly","0.15723 hourly","0.398 hourly","0.766 hourly"
"F8s","16 Gib","8","Intel Xeon 2.4 GHz E5-2673 v3 (Haswell)","0","","True","True","False","Unknown","32 GB","0","0","0","32 GB","high","Unavailable","0.24772 hourly","0.15723 hourly","0.398 hourly","0.766 hourly"
"F8s v2","16 Gib","8","Intel Xeon Platinum 8272CL (Cascade Lake) processors, Intel Xeon Platinum 8168 (Skylake)","0","","True","True","True","Generation 1 and 2","64","16","12800/190","4","64","3500","Unavailable","0.19989 hourly","0.12401 hourly","0.338 hourly","0.651 hourly"
"FX12mds","","","","","","False","False","False","","","","","","","","Unavailable","0.65845 hourly","0.40175 hourly","1.116 hourly","1.668 hourly"
"FX24mds","","","","","","False","False","False","","","","","","","","Unavailable","1.31689 hourly","0.80354 hourly","2.232 hourly","3.336 hourly"
"FX36mds","","","","","","False","False","False","","","","","","","","Unavailable","1.97534 hourly","1.20529 hourly","3.348 hourly","5.004 hourly"
"FX48mds","","","","","","False","False","False","","","","","","","","Unavailable","2.63379 hourly","1.60704 hourly","4.464 hourly","6.672 hourly"
"FX4mds","","","","","","False","False","False","","","","","","","","Unavailable","0.21952 hourly","0.1339 hourly","0.372 hourly","0.556 hourly"
"G1","28 Gib","2","N/A","0","","False","False","False","N/A","384","8","8x500","2","384","2000","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"G2","56 Gib","4","N/A","0","","False","False","False","N/A","768","16","16x500","2","768","4000","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"G3","112 Gib","8","N/A","0","","False","False","False","N/A","1536","32","32x500","4","1536","8000","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"G4","224 Gib","16","N/A","0","","False","False","False","N/A","3072","64","64x500","8","3072","16000","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"G5","448 Gib","32","N/A","0","","False","False","False","N/A","6144","64","64x500","8","6144","20000","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"Gs1","28 Gib","2","Intel Xeon processor E5 v3","0","","False","False","False","Unknown","56","5","000","0","56","","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"Gs2","56 Gib","4","Intel Xeon processor E5 v3","0","","False","False","False","Unknown","112","10","000","0","112","","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"Gs3","112 Gib","8","Intel Xeon processor E5 v3","0","","False","False","False","Unknown","224","20","000","0","224","","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"Gs4","224 Gib","16","Intel Xeon processor E5 v3","0","","False","False","False","Unknown","448","40","000","0","448","","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"Gs4-4","","","","","","False","False","False","","","","","","","","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"Gs4-8","","","","","","False","False","False","","","","","","","","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"Gs5","448 Gib","32","Intel Xeon processor E5 v3","0","","False","False","False","Unknown","896","80","000","0","896","","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"Gs5-16","","","","","","False","False","False","","","","","","","","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"Gs5-8","","","","","","False","False","False","","","","","","","","Unavailable","Unavailable","Unavailable","Unavailable","Unavailable"
"H16","112 Gib","16","Intel Xeon E5 2667 v3","0","","False","False","False","Generation 1","2000","64","64 x 500","4","2000","","Unavailable","Unavailable","Unavailable","1.807 hourly","3.508 hourly"
"H16m","224 Gib","16","Intel Xeon E5 2667 v3","0","","False","False","False","Generation 1","2000","64","64 x 500","4","2000","","Unavailable","Unavailable","Unavailable","2.422 hourly","4.699 hourly"
"H16mr","224 Gib","16","Intel Xeon E5 2667 v3","0","","False","False","False","Generation 1","2000","64","64 x 500","4","2000","","Unavailable","Unavailable","Unavailable","2.664 hourly","5.169 hourly"
"H16r","112 Gib","16","Intel Xeon E5 2667 v3","0","","False","False","False","Generation 1","2000","64","64 x 500","4","2000","","Unavailable","Unavailable","Unavailable","1.988 hourly","3.858 hourly"
"H8","56 Gib","8","Intel Xeon E5 2667 v3","0","","False","False","False","Generation 1","1000","32","32 x 500","2","1000","","Unavailable","Unavailable","Unavailable","0.904 hourly","1.754 hourly"
"H8m","112 Gib","8","Intel Xeon E5 2667 v3","0","","False","False","False","Generation 1","1000","32","32 x 500","2","1000","","Unavailable","Unavailable","Unavailable","1.211 hourly","2.35 hourly"
"HB120-16rs v3","","","","","","False","False","False","","","","","","","","Unavailable","2.7 hourly","1.8 hourly","3.6 hourly","9.12 hourly"
"HB120-32rs v3","","","","","","False","False","False","","","","","","","","Unavailable","2.7 hourly","1.8 hourly","3.6 hourly","9.12 hourly"
"HB120-64rs v3","","","","","","False","False","False","","","","","","","","Unavailable","2.7 hourly","1.8 hourly","3.6 hourly","9.12 hourly"
"HB120-96rs v3","","","","","","False","False","False","","","","","","","","Unavailable","2.7 hourly","1.8 hourly","3.6 hourly","9.12 hourly"
