interruptionFrequency,savingsOverOnDemand,instanceType
>20%,75,c5n.9xlarge
>20%,70,i3.xlarge
15-20%,72,c5.18xlarge
>20%,70,p2.xlarge
5-10%,78,m6i.32xlarge
<5%,82,m5d.metal
<5%,77,m5a.large
>20%,81,a1.xlarge
>20%,0,g4ad.xlarge
>20%,70,x1e.4xlarge
<5%,88,m5zn.3xlarge
<5%,76,c5d.24xlarge
<5%,82,c4.xlarge
>20%,70,x1e.xlarge
<5%,76,c6i.large
5-10%,70,x2gd.xlarge
15-20%,34,g4ad.2xlarge
>20%,70,p3.2xlarge
<5%,67,c6g.16xlarge
<5%,88,m5zn.xlarge
10-15%,79,m5d.24xlarge
5-10%,70,g4dn.8xlarge
5-10%,56,r5.24xlarge
10-15%,73,m6g.12xlarge
>20%,70,z1d.metal
>20%,70,i2.xlarge
5-10%,83,r6i.12xlarge
5-10%,77,c6gn.medium
<5%,81,r6gd.12xlarge
<5%,82,m5d.large
5-10%,70,g4dn.2xlarge
5-10%,70,x2gd.12xlarge
<5%,70,t4g.large
<5%,88,r3.2xlarge
<5%,77,c6i.32xlarge
<5%,86,r5n.4xlarge
5-10%,70,im4gn.large
>20%,78,c5ad.12xlarge
5-10%,78,m6i.metal
5-10%,83,m5n.2xlarge
5-10%,70,im4gn.4xlarge
>20%,73,c6i.12xlarge
5-10%,81,m4.10xlarge
<5%,78,r6g.12xlarge
15-20%,84,r5ad.24xlarge
5-10%,81,r6gd.medium
<5%,80,m5ad.4xlarge
<5%,70,t4g.2xlarge
5-10%,70,i3en.large
5-10%,70,is4gen.xlarge
5-10%,81,r6gd.xlarge
5-10%,81,r5n.8xlarge
5-10%,82,m5d.xlarge
<5%,70,t3.micro
5-10%,86,r5n.large
<5%,81,r6gd.16xlarge
5-10%,70,d3.8xlarge
>20%,84,r4.8xlarge
5-10%,74,c6gd.metal
5-10%,86,r5b.xlarge
<5%,70,t3.small
<5%,86,r5b.4xlarge
>20%,70,g3s.xlarge
<5%,85,r5n.2xlarge
5-10%,75,r5a.12xlarge
15-20%,73,m6i.12xlarge
<5%,71,c5a.2xlarge
5-10%,85,m5dn.2xlarge
<5%,80,c5d.xlarge
15-20%,86,r5b.12xlarge
10-15%,70,x2iedn.24xlarge
5-10%,70,x2gd.16xlarge
10-15%,85,m5dn.12xlarge
10-15%,85,m5dn.24xlarge
<5%,70,x2gd.4xlarge
<5%,85,m5dn.4xlarge
15-20%,85,m5dn.8xlarge
<5%,89,r3.4xlarge
10-15%,70,i3en.metal
>20%,70,z1d.6xlarge
>20%,70,d2.xlarge
5-10%,87,r5dn.large
<5%,80,c5d.metal
<5%,89,r3.large
15-20%,78,m6i.4xlarge
5-10%,70,x2iedn.4xlarge
<5%,88,m5zn.2xlarge
<5%,82,r5a.large
5-10%,70,x2iedn.xlarge
5-10%,83,r6i.metal
>20%,81,a1.2xlarge
5-10%,77,m6gd.medium
5-10%,85,m5dn.xlarge
<5%,73,m6g.large
>20%,70,d2.4xlarge
10-15%,70,x2iedn.16xlarge
10-15%,79,m5.24xlarge
<5%,68,t3a.micro
15-20%,75,c5.9xlarge
<5%,70,t2.medium
<5%,83,m5n.xlarge
<5%,70,t3.medium
5-10%,69,t3.nano
5-10%,73,m6g.medium
5-10%,83,r6i.4xlarge
10-15%,70,i4i.4xlarge
10-15%,78,m5d.12xlarge
15-20%,71,c6g.4xlarge
5-10%,78,r6g.2xlarge
<5%,80,c5d.large
15-20%,83,r6i.16xlarge
5-10%,86,r5n.xlarge
<5%,82,m5d.4xlarge
5-10%,85,r4.16xlarge
>20%,79,r5d.24xlarge
>20%,83,r5b.8xlarge
5-10%,77,m5.2xlarge
10-15%,70,g4dn.4xlarge
<5%,78,c5ad.2xlarge
<5%,78,r6g.xlarge
<5%,84,r5ad.large
>20%,81,a1.medium
5-10%,86,r5b.metal
>20%,70,i3.16xlarge
>20%,61,z1d.3xlarge
>20%,84,r5ad.12xlarge
<5%,64,t3a.nano
