AvailabilityZone,Duration,FixedPrice,InstanceType,ProductDescription,ReservedInstancesOfferingId,UsagePrice,CurrencyCode,InstanceTenancy,Marketplace,OfferingClass,OfferingType,PricingDetails,RecurringCharges,Scope
us-east-1c,31536000,0.0,a1.4xlarge,Linux/UNIX,8f336060-ffd6-49b1-a5a5-118df3755896,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.2956, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,0.0,a1.4xlarge,Linux/UNIX,0bdd1329-e7b6-4bc0-8ed2-e9fa09333f42,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.1763, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,0.0,a1.4xlarge,Linux/UNIX,adeb924b-d75a-46f6-9711-afb426c38a92,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.2027, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,1072.0,a1.4xlarge,Linux/UNIX,dd47048b-af84-4c09-83b9-f5d1bc7942b9,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.1224, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,1233.0,a1.4xlarge,Linux/UNIX,51d92850-9735-4eb1-93c9-c9bcb1465ae4,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.1408, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,2144.0,a1.4xlarge,Linux/UNIX,e4410b72-22e4-4deb-add8-ec461ced1148,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0816, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,2466.0,a1.4xlarge,Linux/UNIX,460943c4-f31d-44eb-89cd-f774626432ec,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.0938, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,263.0,a1.large,Linux/UNIX,62411706-cbfc-4b22-bec2-e8bf3b2440d0,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,302.0,a1.large,Linux/UNIX,d682e67a-f502-4dbb-8325-0872e14fca1a,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,504.0,a1.large,Linux/UNIX,68d526ce-6a91-4237-9bb1-1f23589022c2,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,604.0,a1.large,Linux/UNIX,3d67c3c3-c979-40bd-a100-f203deee171c,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,a1.large,Linux/UNIX,60069428-2126-4359-abfd-b3a39467d2d9,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.0321, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,a1.large,Linux/UNIX,d2df7190-ab44-4c55-ad29-cece1c820c9a,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.0369, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,0.0,a1.large,Linux/UNIX,3d5ae391-b1f4-4f43-916d-998e7ae64836,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.022, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,0.0,a1.large,Linux/UNIX,768ab899-1c4c-472a-af83-9b2c1efcf098,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.0253, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,134.0,a1.large,Linux/UNIX,2df7005e-06b9-42f2-bba3-c4b7debf72e5,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0153, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,154.0,a1.large,Linux/UNIX,09bb972a-83e6-4083-ac48-357c949c1dcd,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.0176, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,268.0,a1.large,Linux/UNIX,a7b51599-6da9-4b57-a5b8-eafb9a9f3397,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0102, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,308.0,a1.large,Linux/UNIX,66babfcf-8292-4aaa-9945-3d94ea95c378,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.0117, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,131.0,a1.medium,Linux/UNIX,45d7d64b-441c-4b77-9e41-994bce88d842,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,151.0,a1.medium,Linux/UNIX,11be4a51-db1b-4ea9-abb0-ace649bbb518,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,252.0,a1.medium,Linux/UNIX,6cbfb265-3cdc-4d88-979a-ab983c7078e8,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,302.0,a1.medium,Linux/UNIX,65bc1939-6f6b-492d-b60b-ee5b253aaa0b,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,a1.medium,Linux/UNIX,090bc6ac-b53c-446c-9b52-fb00f18767d2,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.0161, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,a1.medium,Linux/UNIX,a4eaccba-fc4d-47cd-b74c-bfad0081ad38,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.0185, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,0.0,a1.medium,Linux/UNIX,65b1fea2-c2db-462d-b469-ebb0d04bfd6f,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.011, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,0.0,a1.medium,Linux/UNIX,51f3537d-3d89-44a3-9a30-45e52e267d9d,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.0127, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,67.0,a1.medium,Linux/UNIX,17fe9d13-d9c9-41e5-96cb-6a7895728dc0,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0077, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,77.0,a1.medium,Linux/UNIX,9c00fa8b-cfa7-41fc-9c4f-d4ac31e02dd0,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.0088, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,134.0,a1.medium,Linux/UNIX,62bb6812-0798-4179-9169-de89f5170336,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0051, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,154.0,a1.medium,Linux/UNIX,6feefad8-f651-406c-a544-11e054287451,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.0059, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,2102.0,a1.metal,Linux/UNIX,54638f88-ba9d-4b56-8bf3-622385a42047,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,2417.0,a1.metal,Linux/UNIX,c436d759-97b1-4a50-b09a-63fa0faceec9,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,4032.0,a1.metal,Linux/UNIX,b4b215ad-1f0d-48b4-b7c3-3b1af2e57a17,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,94608000,4834.0,a1.metal,Linux/UNIX,2d9d9e99-771a-4d54-b0f4-94afe607e3fa,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,a1.metal,Linux/UNIX,96d78e07-9c68-41c3-bb80-c99e13fc46d3,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.257, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1c,31536000,0.0,a1.metal,Linux/UNIX,02c9d1fe-3e46-4caf-936d-561a4c6f8474,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.296, 'Frequency': 'Hourly'}]",Availability Zone
