"Name","API Name","Instance Memory","vCPUs","Instance Storage","Network Performance","Linux On Demand cost","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C6ID 32xlarge","c6id.32xlarge","256.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$6.4512 hourly","$2.6957 hourly","$2.7863 hourly","$12.3392 hourly","$8.5837 hourly"
"C6ID Metal","c6id.metal","256.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$6.4512 hourly","$2.6957 hourly","$2.4842 hourly","$12.3392 hourly","$8.5837 hourly"
"INF2 24xlarge","inf2.24xlarge","384.0 GiB","96 vCPUs","EBS only","50 Gigabit","$6.4906 hourly","$2.8039 hourly","$4.4220 hourly","unavailable","unavailable"
"M5DN 24xlarge","m5dn.24xlarge","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$6.5280 hourly","$2.5380 hourly","$1.6261 hourly","$10.9440 hourly","$6.9540 hourly"
"M5DN Metal","m5dn.metal","384.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$6.5280 hourly","$2.5380 hourly","$1.4531 hourly","$10.9440 hourly","$6.9540 hourly"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","64 vCPUs","1920 GB                 SSD","10 Gigabit","$6.6690 hourly","$2.1440 hourly","$2.5297 hourly","$9.6130 hourly","$5.0880 hourly"
"X2IEDN Eight Extra Large","x2iedn.8xlarge","1024.0 GiB","32 vCPUs","950 GB                 NVMe SSD","25 Gigabit","$6.6690 hourly","$2.1391 hourly","$2.0007 hourly","$8.1410 hourly","$3.6111 hourly"
"X2IDN 16xlarge","x2idn.16xlarge","1024.0 GiB","64 vCPUs","1900 GB                 NVMe SSD","50 Gigabit","$6.6690 hourly","$2.1391 hourly","$2.9124 hourly","$9.6130 hourly","$5.0831 hourly"
"X1E Eight Extra Large","x1e.8xlarge","976.0 GiB","32 vCPUs","960 GB                 SSD","Up to 10 Gigabit","$6.6720 hourly","$2.1450 hourly","$2.0016 hourly","$8.1440 hourly","$3.6170 hourly"
"M6IN 24xlarge","m6in.24xlarge","384.0 GiB","96 vCPUs","EBS only","150 Gigabit","$6.6830 hourly","$2.5760 hourly","$1.9149 hourly","$11.0990 hourly","$6.9920 hourly"
"I2 Eight Extra Large","i2.8xlarge","244.0 GiB","32 vCPUs","6400 GB                 (8 * 800 GB SSD)","10 Gigabit","$6.8200 hourly","unavailable","$2.0460 hourly","$7.7820 hourly","unavailable"
"R5D 24xlarge","r5d.24xlarge","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$6.9120 hourly","$2.9860 hourly","$1.2599 hourly","$11.3280 hourly","$7.4020 hourly"
"R5D Metal","r5d.metal","768.0 GiB","96 vCPUs","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$6.9120 hourly","$2.9860 hourly","$1.0034 hourly","$11.3280 hourly","$7.4020 hourly"
"R5N 24xlarge","r5n.24xlarge","768.0 GiB","96 vCPUs","EBS only","100 Gigabit","$7.1520 hourly","$2.8970 hourly","$2.0363 hourly","$11.5680 hourly","$7.3130 hourly"
"R5B 24xlarge","r5b.24xlarge","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","$7.1520 hourly","$2.8966 hourly","$1.8523 hourly","$11.5680 hourly","$7.3126 hourly"
"R5N Metal","r5n.metal","768.0 GiB","96 vCPUs","EBS only","100 Gigabit","$7.1520 hourly","$2.8970 hourly","$1.4993 hourly","$11.5680 hourly","$7.3130 hourly"
"R5B Metal","r5b.metal","768.0 GiB","96 vCPUs","EBS only","25 Gigabit","$7.1520 hourly","$2.8966 hourly","$1.9103 hourly","$11.5680 hourly","$7.3126 hourly"
"P2 General Purpose GPU Eight Extra Large","p2.8xlarge","488.0 GiB","32 vCPUs","EBS only","10 Gigabit","$7.2000 hourly","$3.6720 hourly","$2.1600 hourly","$8.6720 hourly","$5.1440 hourly"
"R6ID 24xlarge","r6id.24xlarge","768.0 GiB","96 vCPUs","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","$7.2576 hourly","$3.1363 hourly","$1.9994 hourly","$11.6736 hourly","$7.5523 hourly"
"C6IN 32xlarge","c6in.32xlarge","256.0 GiB","128 vCPUs","EBS only","200 Gigabit","$7.2576 hourly","$2.6352 hourly","$2.1531 hourly","$13.1456 hourly","$8.5232 hourly"
"R6A 32xlarge","r6a.32xlarge","1024.0 GiB","128 vCPUs","EBS only","50 Gigabit","$7.2576 hourly","$3.2921 hourly","$2.2206 hourly","$13.1456 hourly","$9.1800 hourly"
"C6IN Metal","c6in.metal","256.0 GiB","128 vCPUs","EBS only","200 Gigabit","$7.2576 hourly","$2.6352 hourly","$2.2813 hourly","$13.1456 hourly","$8.5232 hourly"
"C6A 48xlarge","c6a.48xlarge","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","$7.3440 hourly","$3.2333 hourly","$3.0169 hourly","$16.1760 hourly","$12.0653 hourly"
"C6A Metal","c6a.metal","384.0 GiB","192 vCPUs","EBS only","50 Gigabit","$7.3440 hourly","$3.2333 hourly","$3.7381 hourly","$16.1760 hourly","$12.0653 hourly"
"M6ID 32xlarge","m6id.32xlarge","512.0 GiB","128 vCPUs","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$7.5936 hourly","$3.2804 hourly","$2.8413 hourly","$13.4816 hourly","$9.1684 hourly"
