savingsOverOnDemand,interruptionFrequency,instanceType
24,10-15%,m6i.2xlarge
62,<5%,c5d.9xlarge
44,>20%,m5dn.24xlarge
16,<5%,g5g.4xlarge
6,5-10%,c6a.16xlarge
70,<5%,x2iedn.xlarge
39,10-15%,r6g.12xlarge
11,5-10%,m6g.large
34,>20%,r6a.32xlarge
68,>20%,r6gd.8xlarge
23,5-10%,m6gd.xlarge
51,<5%,i4g.4xlarge
13,>20%,m7g.large
70,<5%,d3.8xlarge
70,5-10%,x2iedn.4xlarge
27,5-10%,m5ad.8xlarge
41,>20%,r6i.32xlarge
38,<5%,m5d.xlarge
65,15-20%,m5.xlarge
82,>20%,t1.micro
70,5-10%,trn1n.32xlarge
37,15-20%,m5n.metal
12,5-10%,m7g.medium
1,10-15%,a1.metal
50,>20%,r5d.16xlarge
33,5-10%,c6in.4xlarge
70,>20%,p3dn.24xlarge
48,<5%,x2gd.2xlarge
37,15-20%,m5n.large
34,5-10%,c6i.4xlarge
49,<5%,x2gd.4xlarge
18,5-10%,c6gn.2xlarge
50,<5%,r5b.2xlarge
70,5-10%,x2iedn.32xlarge
29,<5%,t3.large
60,<5%,c6i.8xlarge
56,<5%,r6in.8xlarge
8,10-15%,c6gd.4xlarge
70,>20%,x2iezn.2xlarge
44,<5%,m3.2xlarge
55,5-10%,m5zn.12xlarge
56,15-20%,c6gd.2xlarge
2,<5%,t3a.nano
37,>20%,m6id.4xlarge
25,>20%,h1.4xlarge
21,15-20%,c6i.metal
90,>20%,m1.large
70,<5%,x2iezn.8xlarge
86,>20%,m1.xlarge
31,>20%,r6g.2xlarge
18,5-10%,c6gn.4xlarge
45,>20%,m5.16xlarge
70,>20%,x1e.4xlarge
46,>20%,r4.16xlarge
52,5-10%,m6idn.4xlarge
1,<5%,c6g.xlarge
39,>20%,r5a.4xlarge
40,<5%,m4.large
50,5-10%,r5n.2xlarge
13,>20%,c6gd.16xlarge
49,5-10%,x2gd.8xlarge
39,10-15%,r6g.xlarge
14,15-20%,m5a.4xlarge
13,>20%,m5a.12xlarge
70,<5%,g4dn.xlarge
7,<5%,c6a.2xlarge
70,15-20%,i4i.metal
13,5-10%,m5a.large
51,5-10%,c5.12xlarge
36,>20%,m6id.metal
67,<5%,d3en.6xlarge
20,5-10%,t4g.2xlarge
46,>20%,m5.4xlarge
28,10-15%,c3.2xlarge
14,5-10%,m6a.xlarge
48,>20%,g2.8xlarge
27,>20%,c6i.12xlarge
70,>20%,i3.2xlarge
50,>20%,r6id.xlarge
34,>20%,m4.16xlarge
31,<5%,vt1.24xlarge
70,<5%,trn1.2xlarge
50,<5%,r5b.4xlarge
50,5-10%,r6id.large
47,10-15%,m5d.12xlarge
38,5-10%,r6gd.medium
44,10-15%,r6i.metal
53,10-15%,m6g.8xlarge
55,10-15%,m5zn.6xlarge
67,<5%,i3en.large
70,>20%,f1.4xlarge
31,>20%,r6g.medium
49,<5%,r5b.24xlarge
56,>20%,r5dn.24xlarge
36,>20%,r6a.24xlarge
51,>20%,r6id.12xlarge
25,>20%,c6id.12xlarge
37,10-15%,m5n.16xlarge
2,<5%,c7g.medium
34,>20%,c6i.24xlarge
14,5-10%,m6a.16xlarge
28,>20%,m6i.24xlarge
1,5-10%,t3a.small
56,<5%,i4i.large
15,5-10%,c6i.large
10,10-15%,m6g.metal
10,5-10%,c6gd.xlarge
38,>20%,r6a.12xlarge
26,>20%,m6i.12xlarge
81,>20%,m2.xlarge
53,>20%,m6idn.metal
27,5-10%,m5ad.xlarge
57,<5%,r6in.large
34,5-10%,r6a.large
46,>20%,m5.24xlarge
15,5-10%,m7g.12xlarge
33,15-20%,r7g.16xlarge
