Instance Type,Region,vCpus,Memory,Network,Hourly Price
m6in.8xlarge,US East (N. Virginia),32,128 GiB,50000 Megabit,2.2276800000
r5n.8xlarge,US East (N. Virginia),32,256 GiB,25 Gigabit,2.3840000000
p3.2xlarge,US East (N. Virginia),8,61 GiB,Up to 10 Gigabit,3.0600000000
vt1.6xlarge,US East (N. Virginia),24,48 GiB,6250 Megabit,0.0000000000
g5.16xlarge,US East (N. Virginia),64,256 GiB,25 Gigabit,4.0960000000
c5d.9xlarge,US East (N. Virginia),36,72 GiB,10 Gigabit,0.0000000000
t3.2xlarge,US East (N. Virginia),8,32 GiB,Up to 5 Gigabit,0.3328000000
g5.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,1.0060000000
r5dn.xlarge,US East (N. Virginia),4,32 GiB,Up to 25 Gigabit,0.3340000000
c5a.16xlarge,US East (N. Virginia),64,128 GiB,20 Gigabit,0.0000000000
m6in.8xlarge,US East (N. Virginia),32,128 GiB,50000 Megabit,2.2276800000
c6a.2xlarge,US East (N. Virginia),8,16 GiB,Up to 12500 Megabit,0.3060000000
r5d.xlarge,US East (N. Virginia),4,32 GiB,Up to 10 Gigabit,0.2880000000
r5dn.24xlarge,US East (N. Virginia),96,768 GiB,100 Gigabit,0.0000000000
g5.2xlarge,US East (N. Virginia),8,32 GiB,Up to 10 Gigabit,0.0000000000
m5ad.8xlarge,US East (N. Virginia),32,128 GiB,Up to 10 Gigabit,1.6480000000
z1d.12xlarge,US East (N. Virginia),48,384 GiB,25 Gigabit,4.4640000000
g5g.2xlarge,US East (N. Virginia),8,16 GiB,Up to 10 Gigabit,0.0000000000
c4.2xlarge,US East (N. Virginia),8,15 GiB,High,0.0000000000
x2gd.2xlarge,US East (N. Virginia),8,128 GiB,Up to 10 Gigabit,0.0000000000
m5dn.8xlarge,US East (N. Virginia),32,128 GiB,25 Gigabit,2.1760000000
inf2.48xlarge,US East (N. Virginia),192,768 GiB,100 Gigabit,12.9812700000
c6gd.xlarge,US East (N. Virginia),4,8 GiB,Up to 10 Gigabit,0.1536000000
r5b.2xlarge,US East (N. Virginia),8,64 GiB,Up to 10 Gigabit,0.0000000000
x1e.32xlarge,US East (N. Virginia),128,3904 GiB,25 Gigabit,26.6880000000
r6in.16xlarge,US East (N. Virginia),64,512 GiB,100000 Megabit,5.5785600000
m6a.4xlarge,US East (N. Virginia),16,64 GiB,Up to 12500 Megabit,0.6912000000
r5dn.metal,US East (N. Virginia),96,768 GiB,100 Gigabit,8.0160000000
p3.8xlarge,US East (N. Virginia),32,244 GiB,10 Gigabit,0.0000000000
r6i.large,US East (N. Virginia),2,16 GiB,Up to 12500 Megabit,0.1260000000
r6g.medium,US East (N. Virginia),1,8 GiB,Up to 10 Gigabit,0.0504000000
r7g.4xlarge,US East (N. Virginia),16,128 GiB,Up to 15 Gigabit,0.8568000000
m6in.metal,US East (N. Virginia),128,512 GiB,200000 Megabit,8.9107200000
r5.metal,US East (N. Virginia),96,768 GiB,25 Gigabit,6.0480000000
c5a.2xlarge,US East (N. Virginia),8,16 GiB,Up to 10 Gigabit,0.3080000000
r5a.16xlarge,US East (N. Virginia),64,512 GiB,12 Gigabit,3.6160000000
g5g.8xlarge,US East (N. Virginia),32,64 GiB,Up to 12 Gigabit,1.3720000000
i2.4xlarge,US East (N. Virginia),16,122 GiB,High,0.0000000000
d2.4xlarge,US East (N. Virginia),16,122 GiB,High,2.7600000000
c6id.large,US East (N. Virginia),2,4 GiB,Up to 12500 Megabit,0.1008000000
x2gd.metal,US East (N. Virginia),64,1024 GiB,25 Gigabit,0.0000000000
m6g.medium,US East (N. Virginia),1,4 GiB,Up to 10 Gigabit,0.0385000000
g4dn.xlarge,US East (N. Virginia),4,16 GiB,Up to 25 Gigabit,0.5260000000
g3.8xlarge,US East (N. Virginia),32,244 GiB,10 Gigabit,0.0000000000
r6gd.metal,US East (N. Virginia),64,512 GiB,25 Gigabit,3.6864000000
x1e.32xlarge,US East (N. Virginia),128,3904 GiB,25 Gigabit,26.6880000000
m5dn.16xlarge,US East (N. Virginia),64,256 GiB,75 Gigabit,0.0000000000
m5ad.8xlarge,US East (N. Virginia),32,128 GiB,Up to 10 Gigabit,1.6480000000
c6id.xlarge,US East (N. Virginia),4,8 GiB,Up to 12500 Megabit,0.2016000000
c6id.xlarge,US East (N. Virginia),4,8 GiB,Up to 12500 Megabit,0.2016000000
m5.4xlarge,US East (N. Virginia),16,64 GiB,Up to 10 Gigabit,0.7680000000
c6a.48xlarge,US East (N. Virginia),192,384 GiB,50000 Megabit,7.3440000000
u-18tb1.112xlarge,US East (N. Virginia),448,18432 GiB,100 Gigabit,163.8000000000
m6g.2xlarge,US East (N. Virginia),8,32 GiB,Up to 10 Gigabit,0.3080000000
c5a.24xlarge,US East (N. Virginia),96,192 GiB,20 Gigabit,3.6960000000
t4g.nano,US East (N. Virginia),2,0.5 GiB,Up to 5 Gigabit,0.0000000000
i4g.2xlarge,US East (N. Virginia),8,64 GiB,Up to 12 Gigabit,0.6177600000
m6in.4xlarge,US East (N. Virginia),16,64 GiB,Up to 50000 Megabit,0.0000000000
t4g.small,US East (N. Virginia),2,2 GiB,Up to 5 Gigabit,0.0000000000
c4.large,US East (N. Virginia),2,3.75 GiB,Moderate,0.0000000000
m7g.16xlarge,US East (N. Virginia),64,256 GiB,30 Gigabit,2.6112000000
m6i.metal,US East (N. Virginia),128,512 GiB,50000 Megabit,0.0000000000
x1e.16xlarge,US East (N. Virginia),64,1952 GiB,10 Gigabit,13.3440000000
g4dn.xlarge,US East (N. Virginia),4,16 GiB,Up to 25 Gigabit,0.0000000000
c6in.2xlarge,US East (N. Virginia),8,16 GiB,Up to 40000 Megabit,0.4536000000
x2iedn.2xlarge,US East (N. Virginia),8,256 GiB,Up to 25 Gigabit,1.6672500000
c6id.4xlarge,US East (N. Virginia),16,32 GiB,Up to 12500 Megabit,0.0000000000
m6i.2xlarge,US East (N. Virginia),8,32 GiB,Up to 12500 Megabit,0.3840000000
r6idn.32xlarge,US East (N. Virginia),128,1024 GiB,200000 Megabit,12.5049600000
c6in.8xlarge,US East (N. Virginia),32,64 GiB,50000 Megabit,0.0000000000
c6in.large,US East (N. Virginia),2,4 GiB,Up to 25000 Megabit,0.0000000000
t4g.xlarge,US East (N. Virginia),4,16 GiB,Up to 5 Gigabit,0.0000000000
r6id.16xlarge,US East (N. Virginia),64,512 GiB,25000 Megabit,0.0000000000
i4i.32xlarge,US East (N. Virginia),128,1024 GiB,75000 Megabit,10.9824000000
t3a.small,US East (N. Virginia),2,2 GiB,Up to 5 Gigabit,0.0188000000
c6gn.4xlarge,US East (N. Virginia),16,32 GiB,25 Gigabit,0.6912000000
is4gen.2xlarge,US East (N. Virginia),8,48 GiB,Up to 25 Gigabit,1.1526000000
g4ad.4xlarge,US East (N. Virginia),16,64 GiB,Up to 10 Gigabit,0.8670000000
r3.xlarge,US East (N. Virginia),4,30.5 GiB,Moderate,0.0000000000
z1d.3xlarge,US East (N. Virginia),12,96 GiB,Up to 10 Gigabit,1.1160000000
c5d.xlarge,US East (N. Virginia),4,8 GiB,Up to 10 Gigabit,0.1920000000
t3a.micro,US East (N. Virginia),2,1 GiB,Up to 5 Gigabit,0.0000000000
c6gd.2xlarge,US East (N. Virginia),8,16 GiB,Up to 10 Gigabit,0.3072000000
r6id.24xlarge,US East (N. Virginia),96,768 GiB,37500 Megabit,7.2576000000
i3.metal,US East (N. Virginia),72,512 GiB,25 Gigabit,4.9920000000
g4dn.metal,US East (N. Virginia),96,384 GiB,100 Gigabit,7.8240000000
r5b.24xlarge,US East (N. Virginia),96,768 GiB,25 Gigabit,7.1520000000
m6i.8xlarge,US East (N. Virginia),32,128 GiB,12500 Megabit,1.5360000000
x2iedn.xlarge,US East (N. Virginia),4,128 GiB,Up to 25 Gigabit,0.0000000000
r6in.32xlarge,US East (N. Virginia),128,1024 GiB,200000 Megabit,11.1571200000
x1.32xlarge,US East (N. Virginia),128,1952 GiB,High,13.3380000000
c4.xlarge,US East (N. Virginia),4,7.5 GiB,High,0.1990000000
m6a.metal,US East (N. Virginia),192,768 GiB,50000 Megabit,8.2944000000
im4gn.16xlarge,US East (N. Virginia),64,256 GiB,100 Gigabit,5.8206700000
c5d.2xlarge,US East (N. Virginia),8,16 GiB,Up to 10 Gigabit,0.3840000000
vt1.6xlarge,US East (N. Virginia),24,48 GiB,6250 Megabit,1.3000000000
r7g.metal,US East (N. Virginia),64,512 GiB,30 Gigabit,3.4272000000
c6in.16xlarge,US East (N. Virginia),64,128 GiB,100000 Megabit,0.0000000000
m5n.12xlarge,US East (N. Virginia),48,192 GiB,50 Gigabit,2.8560000000
m6in.metal,US East (N. Virginia),128,512 GiB,200000 Megabit,0.0000000000
c6in.12xlarge,US East (N. Virginia),48,96 GiB,75000 Megabit,2.7216000000
d3.xlarge,US East (N. Virginia),4,32 GiB,Up to 15 Gigabit,0.0000000000
m5dn.16xlarge,US East (N. Virginia),64,256 GiB,75 Gigabit,4.3520000000
m5n.metal,US East (N. Virginia),96,384 GiB,100 Gigabit,5.7120000000
r6g.12xlarge,US East (N. Virginia),48,384 GiB,20 Gigabit,2.4192000000
m5d.8xlarge,US East (N. Virginia),32,128 GiB,10 Gigabit,1.8080000000
m4.large,US East (N. Virginia),2,8 GiB,Moderate,0.1000000000
r5b.12xlarge,US East (N. Virginia),48,384 GiB,10 Gigabit,0.0000000000
m5dn.24xlarge,US East (N. Virginia),96,384 GiB,100 Gigabit,0.0000000000
r6idn.xlarge,US East (N. Virginia),4,32 GiB,Up to 30000 Megabit,0.3907800000
c6a.16xlarge,US East (N. Virginia),64,128 GiB,25000 Megabit,2.4480000000
c6a.8xlarge,US East (N. Virginia),32,64 GiB,12500 Megabit,1.2240000000
c6a.32xlarge,US East (N. Virginia),128,256 GiB,50000 Megabit,0.0000000000
r6a.8xlarge,US East (N. Virginia),32,256 GiB,12500 Megabit,0.0000000000
i3en.metal,US East (N. Virginia),96,768 GiB,100 Gigabit,10.8480000000
g5.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,0.0000000000
c6a.metal,US East (N. Virginia),192,384 GiB,50000 Megabit,7.3440000000
x2gd.metal,US East (N. Virginia),64,1024 GiB,25 Gigabit,5.3440000000
m6id.xlarge,US East (N. Virginia),4,16 GiB,Up to 12500 Megabit,0.2373000000
r3.large,US East (N. Virginia),2,15.25 GiB,Moderate,0.1660000000
c5ad.2xlarge,US East (N. Virginia),8,16 GiB,Up to 10 Gigabit,0.3440000000
m5a.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,0.1720000000
inf2.48xlarge,US East (N. Virginia),192,768 GiB,100 Gigabit,0.0000000000
r5dn.xlarge,US East (N. Virginia),4,32 GiB,Up to 25 Gigabit,0.3340000000
m6g.2xlarge,US East (N. Virginia),8,32 GiB,Up to 10 Gigabit,0.0000000000
r6id.12xlarge,US East (N. Virginia),48,384 GiB,18750 Megabit,3.6288000000
i4g.4xlarge,US East (N. Virginia),16,128 GiB,Up to 25 Gigabit,0.0000000000
g5g.8xlarge,US East (N. Virginia),32,64 GiB,Up to 12 Gigabit,0.0000000000
z1d.12xlarge,US East (N. Virginia),48,384 GiB,25 Gigabit,4.4640000000
m6a.24xlarge,US East (N. Virginia),96,384 GiB,37500 Megabit,0.0000000000
r6i.2xlarge,US East (N. Virginia),8,64 GiB,Up to 12500 Megabit,0.0000000000
r5ad.24xlarge,US East (N. Virginia),96,768 GiB,20 Gigabit,0.0000000000
m6a.large,US East (N. Virginia),2,8 GiB,Up to 12500 Megabit,0.0864000000
r5n.metal,US East (N. Virginia),96,768 GiB,100 Gigabit,7.1520000000
m7g.2xlarge,US East (N. Virginia),8,32 GiB,Up to 15 Gigabit,0.3264000000
r5n.16xlarge,US East (N. Virginia),64,512 GiB,75 Gigabit,4.7680000000
r7g.12xlarge,US East (N. Virginia),48,384 GiB,22500 Megabit,0.0000000000
c5a.24xlarge,US East (N. Virginia),96,192 GiB,20 Gigabit,0.0000000000
c6gd.medium,US East (N. Virginia),1,2 GiB,Up to 10 Gigabit,0.0384000000
m7g.12xlarge,US East (N. Virginia),48,192 GiB,22500 Megabit,1.9584000000
d3en.8xlarge,US East (N. Virginia),32,128 GiB,50 Gigabit,0.0000000000
r7g.12xlarge,US East (N. Virginia),48,384 GiB,22500 Megabit,2.5704000000
c7g.large,US East (N. Virginia),2,4 GiB,Up to 12500 Megabit,0.0725000000
r6idn.large,US East (N. Virginia),2,16 GiB,Up to 25000 Megabit,0.0000000000
m5d.12xlarge,US East (N. Virginia),48,192 GiB,10 Gigabit,0.0000000000
m6g.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,0.1540000000
f1.4xlarge,US East (N. Virginia),16,244 GiB,10 Gigabit,3.3000000000
i3.metal,US East (N. Virginia),72,512 GiB,25 Gigabit,4.9920000000
vt1.3xlarge,US East (N. Virginia),12,24 GiB,3125 Megabit,0.6500000000
r6gd.4xlarge,US East (N. Virginia),16,128 GiB,Up to 10 Gigabit,0.9216000000
m6i.xlarge,US East (N. Virginia),4,16 GiB,Up to 12500 Megabit,0.1920000000
m6a.16xlarge,US East (N. Virginia),64,256 GiB,25000 Megabit,2.7648000000
c6gn.medium,US East (N. Virginia),1,2 GiB,Up to 25 Gigabit,0.0432000000
a1.4xlarge,US East (N. Virginia),16,32 GiB,Up to 10 Gigabit,0.0000000000
c6id.16xlarge,US East (N. Virginia),64,128 GiB,25000 Megabit,0.0000000000
r5dn.large,US East (N. Virginia),2,16 GiB,Up to 25 Gigabit,0.1670000000
x2idn.metal,US East (N. Virginia),128,2048 GiB,100 Gigabit,13.3380000000
c4.8xlarge,US East (N. Virginia),36,60 GiB,10 Gigabit,1.5910000000
t4g.small,US East (N. Virginia),2,2 GiB,Up to 5 Gigabit,0.0168000000
c6gd.8xlarge,US East (N. Virginia),32,64 GiB,12 Gigabit,1.2288000000
r5ad.12xlarge,US East (N. Virginia),48,384 GiB,10 Gigabit,3.1440000000
c5a.12xlarge,US East (N. Virginia),48,96 GiB,12 Gigabit,1.8480000000
c6i.large,US East (N. Virginia),2,4 GiB,Up to 12500 Megabit,0.0000000000
r6in.4xlarge,US East (N. Virginia),16,128 GiB,Up to 50000 Megabit,1.3946400000
c6id.8xlarge,US East (N. Virginia),32,64 GiB,12500 Megabit,1.6128000000
m5n.2xlarge,US East (N. Virginia),8,32 GiB,Up to 25 Gigabit,0.0000000000
r6a.4xlarge,US East (N. Virginia),16,128 GiB,Up to 12500 Megabit,0.9072000000
r6in.12xlarge,US East (N. Virginia),48,384 GiB,75000 Megabit,4.1839200000
m5ad.24xlarge,US East (N. Virginia),96,384 GiB,20 Gigabit,0.0000000000
c7g.4xlarge,US East (N. Virginia),16,32 GiB,Up to 15 Gigabit,0.5800000000
c6in.xlarge,US East (N. Virginia),4,8 GiB,Up to 30000 Megabit,0.2268000000
a1.metal,US East (N. Virginia),16,32 GiB,Up to 10 Gigabit,0.0000000000
r4.16xlarge,US East (N. Virginia),64,488 GiB,20 Gigabit,0.0000000000
m5d.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,0.2260000000
r6i.32xlarge,US East (N. Virginia),128,1024 GiB,50000 Megabit,8.0640000000
x2gd.16xlarge,US East (N. Virginia),64,1024 GiB,25 Gigabit,0.0000000000
d3en.12xlarge,US East (N. Virginia),48,192 GiB,75 Gigabit,0.0000000000
r5.12xlarge,US East (N. Virginia),48,384 GiB,10 Gigabit,3.0240000000
d3.4xlarge,US East (N. Virginia),16,128 GiB,Up to 15 Gigabit,1.9980000000
m4.large,US East (N. Virginia),2,8 GiB,Moderate,0.0000000000
d2.8xlarge,US East (N. Virginia),36,244 GiB,10 Gigabit,0.0000000000
r5ad.16xlarge,US East (N. Virginia),64,512 GiB,12 Gigabit,0.0000000000
r5a.4xlarge,US East (N. Virginia),16,128 GiB,Up to 10 Gigabit,0.9040000000
r6id.8xlarge,US East (N. Virginia),32,256 GiB,12500 Megabit,2.4192000000
c3.8xlarge,US East (N. Virginia),32,60 GiB,10 Gigabit,1.6800000000
m6i.32xlarge,US East (N. Virginia),128,512 GiB,50000 Megabit,6.1440000000
g4ad.4xlarge,US East (N. Virginia),16,64 GiB,Up to 10 Gigabit,0.8670000000
r6in.metal,US East (N. Virginia),128,1024 GiB,200000 Megabit,0.0000000000
m6gd.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,0.1808000000
p4de.24xlarge,US East (N. Virginia),96,1152 GiB,400 Gigabit,40.9657500000
c7g.xlarge,US East (N. Virginia),4,8 GiB,Up to 12500 Megabit,0.1450000000
c6gn.4xlarge,US East (N. Virginia),16,32 GiB,25 Gigabit,0.0000000000
z1d.metal,US East (N. Virginia),48,384 GiB,25 Gigabit,0.0000000000
m5zn.6xlarge,US East (N. Virginia),24,96 GiB,50 Gigabit,1.9820000000
m6g.2xlarge,US East (N. Virginia),8,32 GiB,Up to 10 Gigabit,0.3080000000
m6in.24xlarge,US East (N. Virginia),96,384 GiB,150000 Megabit,6.6830400000
r6id.large,US East (N. Virginia),2,16 GiB,Up to 12500 Megabit,0.0000000000
i3.xlarge,US East (N. Virginia),4,30.5 GiB,Up to 10 Gigabit,0.0000000000
g2.8xlarge,US East (N. Virginia),32,60 GiB,High,2.6000000000
c5.2xlarge,US East (N. Virginia),8,16 GiB,Up to 10 Gigabit,0.0000000000
m6in.32xlarge,US East (N. Virginia),128,512 GiB,200000 Megabit,0.0000000000
m3.xlarge,US East (N. Virginia),4,15 GiB,High,0.2660000000
r6a.2xlarge,US East (N. Virginia),8,64 GiB,Up to 12500 Megabit,0.0000000000
c4.4xlarge,US East (N. Virginia),16,30 GiB,High,0.7960000000
m5zn.xlarge,US East (N. Virginia),4,16 GiB,Up to 25 Gigabit,0.3303000000
u-18tb1.112xlarge,US East (N. Virginia),448,18432 GiB,100 Gigabit,0.0000000000
p2.16xlarge,US East (N. Virginia),64,732 GiB,20 Gigabit,0.0000000000
f1.16xlarge,US East (N. Virginia),64,976 GiB,25 Gigabit,13.2000000000
a1.large,US East (N. Virginia),2,4 GiB,Up to 10 Gigabit,0.0510000000
im4gn.large,US East (N. Virginia),2,8 GiB,Up to 25 Gigabit,0.1819000000
g4dn.4xlarge,US East (N. Virginia),16,64 GiB,Up to 25 Gigabit,1.2040000000
t3.micro,US East (N. Virginia),2,1 GiB,Up to 5 Gigabit,0.0000000000
inf1.6xlarge,US East (N. Virginia),24,48 GiB,25 Gigabit,1.1800000000
m5.12xlarge,US East (N. Virginia),48,192 GiB,10 Gigabit,2.3040000000
inf2.xlarge,US East (N. Virginia),4,16 GiB,Up to 15 Gigabit,0.0000000000
m5ad.12xlarge,US East (N. Virginia),48,192 GiB,10 Gigabit,2.4720000000
g4ad.8xlarge,US East (N. Virginia),32,128 GiB,15 Gigabit,0.0000000000
c5a.2xlarge,US East (N. Virginia),8,16 GiB,Up to 10 Gigabit,0.3080000000
m6g.4xlarge,US East (N. Virginia),16,64 GiB,Up to 10 Gigabit,0.0000000000
d3en.12xlarge,US East (N. Virginia),48,192 GiB,75 Gigabit,6.3086400000
i4g.large,US East (N. Virginia),2,16 GiB,Up to 10 Gigabit,0.0000000000
t2.nano,US East (N. Virginia),1,0.5 GiB,Low,0.0058000000
r5.4xlarge,US East (N. Virginia),16,128 GiB,Up to 10 Gigabit,0.0000000000
i3en.3xlarge,US East (N. Virginia),12,96 GiB,Up to 25 Gigabit,1.3560000000
t2.large,US East (N. Virginia),2,8 GiB,Low to Moderate,0.0000000000
x2gd.xlarge,US East (N. Virginia),4,64 GiB,Up to 10 Gigabit,0.3340000000
c6i.16xlarge,US East (N. Virginia),64,128 GiB,25000 Megabit,2.7200000000
c6g.xlarge,US East (N. Virginia),4,8 GiB,Up to 10 Gigabit,0.0000000000
m6gd.medium,US East (N. Virginia),1,4 GiB,Up to 10 Gigabit,0.0000000000
c5.18xlarge,US East (N. Virginia),72,144 GiB,25 Gigabit,0.0000000000
g4dn.8xlarge,US East (N. Virginia),32,128 GiB,50 Gigabit,0.0000000000
m4.2xlarge,US East (N. Virginia),8,32 GiB,High,0.4000000000
r6gd.16xlarge,US East (N. Virginia),64,512 GiB,25 Gigabit,3.6864000000
m5n.8xlarge,US East (N. Virginia),32,128 GiB,25 Gigabit,1.9040000000
r5d.4xlarge,US East (N. Virginia),16,128 GiB,Up to 10 Gigabit,0.0000000000
m7g.16xlarge,US East (N. Virginia),64,256 GiB,30 Gigabit,0.0000000000
r6a.24xlarge,US East (N. Virginia),96,768 GiB,37500 Megabit,5.4432000000
trn1.32xlarge,US East (N. Virginia),128,512 GiB,800 Gigabit,21.5000000000
m6idn.4xlarge,US East (N. Virginia),16,64 GiB,Up to 50000 Megabit,1.2729600000
c4.4xlarge,US East (N. Virginia),16,30 GiB,High,0.7960000000
m6in.2xlarge,US East (N. Virginia),8,32 GiB,Up to 40000 Megabit,0.0000000000
m3.medium,US East (N. Virginia),1,3.75 GiB,Moderate,0.0670000000
m5zn.2xlarge,US East (N. Virginia),8,32 GiB,Up to 25 Gigabit,0.6607000000
i2.8xlarge,US East (N. Virginia),32,244 GiB,10 Gigabit,0.0000000000
m4.16xlarge,US East (N. Virginia),64,256 GiB,20 Gigabit,0.0000000000
is4gen.xlarge,US East (N. Virginia),4,24 GiB,Up to 25 Gigabit,0.5763000000
x2idn.metal,US East (N. Virginia),128,2048 GiB,100 Gigabit,0.0000000000
c5ad.16xlarge,US East (N. Virginia),64,128 GiB,20 Gigabit,0.0000000000
r5ad.2xlarge,US East (N. Virginia),8,64 GiB,Up to 10 Gigabit,0.5240000000
r5n.large,US East (N. Virginia),2,16 GiB,Up to 25 Gigabit,0.1490000000
r6idn.16xlarge,US East (N. Virginia),64,512 GiB,100000 Megabit,0.0000000000
g4dn.16xlarge,US East (N. Virginia),64,256 GiB,50 Gigabit,0.0000000000
m5n.metal,US East (N. Virginia),96,384 GiB,100 Gigabit,0.0000000000
r6in.12xlarge,US East (N. Virginia),48,384 GiB,75000 Megabit,4.1839200000
r5b.24xlarge,US East (N. Virginia),96,768 GiB,25 Gigabit,0.0000000000
c6i.metal,US East (N. Virginia),128,256 GiB,50000 Megabit,0.0000000000
m6g.12xlarge,US East (N. Virginia),48,192 GiB,20 Gigabit,1.8480000000
c6in.large,US East (N. Virginia),2,4 GiB,Up to 25000 Megabit,0.1134000000
c6a.large,US East (N. Virginia),2,4 GiB,Up to 12500 Megabit,0.0765000000
r5b.large,US East (N. Virginia),2,16 GiB,Up to 10 Gigabit,0.0000000000
c5ad.16xlarge,US East (N. Virginia),64,128 GiB,20 Gigabit,2.7520000000
c3.4xlarge,US East (N. Virginia),16,30 GiB,High,0.8400000000
inf2.8xlarge,US East (N. Virginia),32,128 GiB,Up to 25 Gigabit,0.0000000000
r6idn.2xlarge,US East (N. Virginia),8,64 GiB,Up to 40000 Megabit,0.0000000000
c5n.large,US East (N. Virginia),2,5.25 GiB,Up to 25 Gigabit,0.1080000000
m6i.large,US East (N. Virginia),2,8 GiB,Up to 12500 Megabit,0.0960000000
inf1.24xlarge,US East (N. Virginia),96,192 GiB,100 Gigabit,4.7210000000
c6g.metal,US East (N. Virginia),64,128 GiB,25 Gigabit,2.1760000000
dl1.24xlarge,US East (N. Virginia),96,768 GiB,400 Gigabit,13.1090400000
x2iedn.24xlarge,US East (N. Virginia),96,3072 GiB,75 Gigabit,20.0070000000
x2gd.12xlarge,US East (N. Virginia),48,768 GiB,20 Gigabit,4.0080000000
c6i.8xlarge,US East (N. Virginia),32,64 GiB,12500 Megabit,0.0000000000
m6i.24xlarge,US East (N. Virginia),96,384 GiB,37500 Megabit,4.6080000000
r5b.metal,US East (N. Virginia),96,768 GiB,25 Gigabit,7.1520000000
m6id.xlarge,US East (N. Virginia),4,16 GiB,Up to 12500 Megabit,0.2373000000
r5a.4xlarge,US East (N. Virginia),16,128 GiB,Up to 10 Gigabit,0.0000000000
i2.2xlarge,US East (N. Virginia),8,61 GiB,High,0.0000000000
r6id.xlarge,US East (N. Virginia),4,32 GiB,Up to 12500 Megabit,0.0000000000
g5.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,1.0060000000
r6a.16xlarge,US East (N. Virginia),64,512 GiB,25000 Megabit,3.6288000000
m6idn.2xlarge,US East (N. Virginia),8,32 GiB,Up to 40000 Megabit,0.0000000000
c6gn.8xlarge,US East (N. Virginia),32,64 GiB,50 Gigabit,1.3824000000
c6gd.12xlarge,US East (N. Virginia),48,96 GiB,20 Gigabit,1.8432000000
r5d.16xlarge,US East (N. Virginia),64,512 GiB,20 Gigabit,4.6080000000
r5b.16xlarge,US East (N. Virginia),64,512 GiB,20 Gigabit,0.0000000000
r3.2xlarge,US East (N. Virginia),8,61 GiB,High,0.0000000000
t4g.2xlarge,US East (N. Virginia),8,32 GiB,Up to 5 Gigabit,0.2688000000
c5ad.4xlarge,US East (N. Virginia),16,32 GiB,Up to 10 Gigabit,0.0000000000
d3en.12xlarge,US East (N. Virginia),48,192 GiB,75 Gigabit,6.3086400000
i4i.8xlarge,US East (N. Virginia),32,256 GiB,18750 Megabit,0.0000000000
x1e.32xlarge,US East (N. Virginia),128,3904 GiB,25 Gigabit,0.0000000000
c3.2xlarge,US East (N. Virginia),8,15 GiB,High,0.4200000000
i4g.8xlarge,US East (N. Virginia),32,256 GiB,18750 Megabit,2.4710400000
c5d.18xlarge,US East (N. Virginia),72,144 GiB,25 Gigabit,3.4560000000
c6in.8xlarge,US East (N. Virginia),32,64 GiB,50000 Megabit,1.8144000000
c6gd.8xlarge,US East (N. Virginia),32,64 GiB,12 Gigabit,1.2288000000
c6gd.metal,US East (N. Virginia),64,128 GiB,25 Gigabit,0.0000000000
c6i.4xlarge,US East (N. Virginia),16,32 GiB,Up to 12500 Megabit,0.6800000000
r5n.4xlarge,US East (N. Virginia),16,128 GiB,Up to 25 Gigabit,0.0000000000
i3.xlarge,US East (N. Virginia),4,30.5 GiB,Up to 10 Gigabit,0.3120000000
g3s.xlarge,US East (N. Virginia),4,30.5 GiB,10 Gigabit,0.0000000000
t2.xlarge,US East (N. Virginia),4,16 GiB,Moderate,0.1856000000
x2gd.large,US East (N. Virginia),2,32 GiB,Up to 10 Gigabit,0.1670000000
r5n.12xlarge,US East (N. Virginia),48,384 GiB,50 Gigabit,3.5760000000
c5.large,US East (N. Virginia),2,4 GiB,Up to 10 Gigabit,0.0000000000
i3.2xlarge,US East (N. Virginia),8,61 GiB,Up to 10 Gigabit,0.6240000000
m3.large,US East (N. Virginia),2,7.5 GiB,Moderate,0.0000000000
u-9tb1.112xlarge,US East (N. Virginia),448,9216 GiB,100 Gigabit,0.0000000000
m6i.24xlarge,US East (N. Virginia),96,384 GiB,37500 Megabit,0.0000000000
r6in.24xlarge,US East (N. Virginia),96,768 GiB,150000 Megabit,8.3678400000
m5dn.large,US East (N. Virginia),2,8 GiB,Up to 25 Gigabit,0.0000000000
c6in.xlarge,US East (N. Virginia),4,8 GiB,Up to 30000 Megabit,0.0000000000
m5d.12xlarge,US East (N. Virginia),48,192 GiB,10 Gigabit,2.7120000000
m6id.2xlarge,US East (N. Virginia),8,32 GiB,Up to 12500 Megabit,0.4746000000
x2gd.8xlarge,US East (N. Virginia),32,512 GiB,12 Gigabit,0.0000000000
r6i.32xlarge,US East (N. Virginia),128,1024 GiB,50000 Megabit,8.0640000000
g4ad.4xlarge,US East (N. Virginia),16,64 GiB,Up to 10 Gigabit,0.0000000000
r6g.8xlarge,US East (N. Virginia),32,256 GiB,12 Gigabit,0.0000000000
r6i.metal,US East (N. Virginia),128,1024 GiB,50000 Megabit,8.0640000000
