Instance Type,Region,vCpus,Memory,Network,Hourly Price
r6id.4xlarge,US East (N. Virginia),16,128 GiB,Up to 12500 Megabit,1.2096000000
c5a.12xlarge,US East (N. Virginia),48,96 GiB,12 Gigabit,0.0000000000
d3en.4xlarge,US East (N. Virginia),16,64 GiB,25 Gigabit,2.1030000000
c6g.16xlarge,US East (N. Virginia),64,128 GiB,25 Gigabit,2.1760000000
c5.xlarge,US East (N. Virginia),4,8 GiB,Up to 10 Gigabit,0.1700000000
c5.9xlarge,US East (N. Virginia),36,72 GiB,10 Gigabit,0.0000000000
u-24tb1.112xlarge,US East (N. Virginia),448,24576 GiB,100 Gigabit,0.0000000000
z1d.xlarge,US East (N. Virginia),4,32 GiB,Up to 10 Gigabit,0.0000000000
trn1n.32xlarge,US East (N. Virginia),128,512 GiB,1600 Gigabit,0.0000000000
m6in.24xlarge,US East (N. Virginia),96,384 GiB,150000 Megabit,0.0000000000
r6in.2xlarge,US East (N. Virginia),8,64 GiB,Up to 40000 Megabit,0.6973200000
m5ad.12xlarge,US East (N. Virginia),48,192 GiB,10 Gigabit,2.4720000000
i4i.large,US East (N. Virginia),2,16 GiB,Up to 10 Gigabit,0.0000000000
c4.2xlarge,US East (N. Virginia),8,15 GiB,High,0.3980000000
c5n.4xlarge,US East (N. Virginia),16,42 GiB,Up to 25 Gigabit,0.8640000000
c7g.16xlarge,US East (N. Virginia),64,128 GiB,30 Gigabit,2.3200000000
h1.16xlarge,US East (N. Virginia),64,256 GiB,25 Gigabit,4.4000000000
c5ad.xlarge,US East (N. Virginia),4,8 GiB,Up to 10 Gigabit,0.1720000000
r6in.16xlarge,US East (N. Virginia),64,512 GiB,100000 Megabit,0.0000000000
x2gd.12xlarge,US East (N. Virginia),48,768 GiB,20 Gigabit,0.0000000000
r6gd.metal,US East (N. Virginia),64,512 GiB,25 Gigabit,0.0000000000
m6g.8xlarge,US East (N. Virginia),32,128 GiB,12 Gigabit,1.2320000000
c6i.8xlarge,US East (N. Virginia),32,64 GiB,12500 Megabit,1.3600000000
cc2.8xlarge,US East (N. Virginia),32,60.5 GiB,10 Gigabit,2.0000000000
x2iezn.4xlarge,US East (N. Virginia),16,512 GiB,Up to 25 Gigabit,0.0000000000
c5ad.12xlarge,US East (N. Virginia),48,96 GiB,12 Gigabit,2.0640000000
c5ad.8xlarge,US East (N. Virginia),32,64 GiB,10 Gigabit,0.0000000000
g3.16xlarge,US East (N. Virginia),64,488 GiB,20 Gigabit,4.5600000000
c4.large,US East (N. Virginia),2,3.75 GiB,Moderate,0.1000000000
c6i.12xlarge,US East (N. Virginia),48,96 GiB,18750 Megabit,2.0400000000
i2.xlarge,US East (N. Virginia),4,30.5 GiB,Moderate,0.8530000000
m6in.12xlarge,US East (N. Virginia),48,192 GiB,75000 Megabit,3.3415200000
r5n.2xlarge,US East (N. Virginia),8,64 GiB,Up to 25 Gigabit,0.5960000000
m4.10xlarge,US East (N. Virginia),40,160 GiB,10 Gigabit,2.0000000000
d3.8xlarge,US East (N. Virginia),32,256 GiB,25 Gigabit,3.9955200000
i4g.xlarge,US East (N. Virginia),4,32 GiB,Up to 10 Gigabit,0.3088800000
m4.10xlarge,US East (N. Virginia),40,160 GiB,10 Gigabit,0.0000000000
t3a.nano,US East (N. Virginia),2,0.5 GiB,Up to 5 Gigabit,0.0047000000
u-12tb1.112xlarge,US East (N. Virginia),448,12288 GiB,100 Gigabit,109.2000000000
r5b.4xlarge,US East (N. Virginia),16,128 GiB,Up to 10 Gigabit,1.1920000000
c6gd.4xlarge,US East (N. Virginia),16,32 GiB,Up to 10 Gigabit,0.6144000000
r6idn.24xlarge,US East (N. Virginia),96,768 GiB,150000 Megabit,9.3787200000
im4gn.4xlarge,US East (N. Virginia),16,64 GiB,25 Gigabit,1.4551700000
g4ad.2xlarge,US East (N. Virginia),8,32 GiB,Up to 10 Gigabit,0.5411700000
m6a.large,US East (N. Virginia),2,8 GiB,Up to 12500 Megabit,0.0864000000
cr1.8xlarge,US East (N. Virginia),32,244 GiB,10 Gigabit,3.5000000000
m4.2xlarge,US East (N. Virginia),8,32 GiB,High,0.0000000000
x2iedn.2xlarge,US East (N. Virginia),8,256 GiB,Up to 25 Gigabit,0.0000000000
r6a.48xlarge,US East (N. Virginia),192,1536 GiB,50000 Megabit,0.0000000000
m6gd.metal,US East (N. Virginia),64,256 GiB,25 Gigabit,2.8928000000
u-6tb1.56xlarge,US East (N. Virginia),224,6144 GiB,100 Gigabit,46.4039100000
m5ad.xlarge,US East (N. Virginia),4,16 GiB,Up to 10 Gigabit,0.2060000000
d3.xlarge,US East (N. Virginia),4,32 GiB,Up to 15 Gigabit,0.4990000000
m6a.8xlarge,US East (N. Virginia),32,128 GiB,12500 Megabit,1.3824000000
z1d.large,US East (N. Virginia),2,16 GiB,Up to 10 Gigabit,0.1860000000
m4.4xlarge,US East (N. Virginia),16,64 GiB,High,0.8000000000
c6i.16xlarge,US East (N. Virginia),64,128 GiB,25000 Megabit,0.0000000000
r6idn.2xlarge,US East (N. Virginia),8,64 GiB,Up to 40000 Megabit,0.7815600000
r3.large,US East (N. Virginia),2,15.25 GiB,Moderate,0.0000000000
x2iedn.24xlarge,US East (N. Virginia),96,3072 GiB,75 Gigabit,20.0070000000
r5d.metal,US East (N. Virginia),96,768 GiB,25 Gigabit,6.9120000000
c6a.8xlarge,US East (N. Virginia),32,64 GiB,12500 Megabit,0.0000000000
i3.4xlarge,US East (N. Virginia),16,122 GiB,Up to 10 Gigabit,1.2480000000
a1.xlarge,US East (N. Virginia),4,8 GiB,Up to 10 Gigabit,0.1020000000
x1e.2xlarge,US East (N. Virginia),8,244 GiB,Up to 10 Gigabit,0.0000000000
m5.8xlarge,US East (N. Virginia),32,128 GiB,10 Gigabit,0.0000000000
c5n.xlarge,US East (N. Virginia),4,10.5 GiB,Up to 25 Gigabit,0.0000000000
m6gd.2xlarge,US East (N. Virginia),8,32 GiB,Up to 10 Gigabit,0.3616000000
i4i.32xlarge,US East (N. Virginia),128,1024 GiB,75000 Megabit,10.9824000000
r6id.4xlarge,US East (N. Virginia),16,128 GiB,Up to 12500 Megabit,0.0000000000
f1.16xlarge,US East (N. Virginia),64,976 GiB,25 Gigabit,0.0000000000
m6i.8xlarge,US East (N. Virginia),32,128 GiB,12500 Megabit,0.0000000000
is4gen.8xlarge,US East (N. Virginia),32,192 GiB,50 Gigabit,4.6104000000
r5dn.large,US East (N. Virginia),2,16 GiB,Up to 25 Gigabit,0.1670000000
m6g.metal,US East (N. Virginia),64,256 GiB,25 Gigabit,2.4640000000
m4.xlarge,US East (N. Virginia),4,16 GiB,High,0.2000000000
m6gd.8xlarge,US East (N. Virginia),32,128 GiB,12 Gigabit,1.4464000000
x2iezn.12xlarge,US East (N. Virginia),48,1536 GiB,100 Gigabit,10.0080000000
m6idn.32xlarge,US East (N. Virginia),128,512 GiB,200000 Megabit,10.1836800000
c6gn.12xlarge,US East (N. Virginia),48,96 GiB,75 Gigabit,2.0736000000
x2gd.8xlarge,US East (N. Virginia),32,512 GiB,12 Gigabit,2.6720000000
g2.2xlarge,US East (N. Virginia),8,15 GiB,Moderate,0.6500000000
r7g.16xlarge,US East (N. Virginia),64,512 GiB,30 Gigabit,0.0000000000
c5a.large,US East (N. Virginia),2,4 GiB,Up to 10 Gigabit,0.0770000000
m5n.2xlarge,US East (N. Virginia),8,32 GiB,Up to 25 Gigabit,0.4760000000
g4ad.16xlarge,US East (N. Virginia),64,256 GiB,25 Gigabit,3.4680000000
r5ad.large,US East (N. Virginia),2,16 GiB,Up to 10 Gigabit,0.1310000000
c4.large,US East (N. Virginia),2,3.75 GiB,Moderate,0.1000000000
g5g.xlarge,US East (N. Virginia),4,8 GiB,Up to 10 Gigabit,0.4200000000
r6a.large,US East (N. Virginia),2,16 GiB,Up to 12500 Megabit,0.1134000000
m6gd.8xlarge,US East (N. Virginia),32,128 GiB,12 Gigabit,0.0000000000
r3.8xlarge,US East (N. Virginia),32,244 GiB,10 Gigabit,0.0000000000
c5.9xlarge,US East (N. Virginia),36,72 GiB,10 Gigabit,1.5300000000
r5.2xlarge,US East (N. Virginia),8,64 GiB,Up to 10 Gigabit,0.0000000000
r4.8xlarge,US East (N. Virginia),32,244 GiB,10 Gigabit,0.0000000000
r5d.24xlarge,US East (N. Virginia),96,768 GiB,25 Gigabit,6.9120000000
t2.micro,US East (N. Virginia),1,1 GiB,Low to Moderate,0.0116000000
r6id.8xlarge,US East (N. Virginia),32,256 GiB,12500 Megabit,2.4192000000
g5.4xlarge,US East (N. Virginia),16,64 GiB,Up to 25 Gigabit,1.6240000000
t3.large,US East (N. Virginia),2,8 GiB,Up to 5 Gigabit,0.0832000000
c4.xlarge,US East (N. Virginia),4,7.5 GiB,High,0.1990000000
r6idn.large,US East (N. Virginia),2,16 GiB,Up to 25000 Megabit,0.1953900000
r6i.xlarge,US East (N. Virginia),4,32 GiB,Up to 12500 Megabit,0.2520000000
r7g.xlarge,US East (N. Virginia),4,32 GiB,Up to 12500 Megabit,0.2142000000
c6gn.8xlarge,US East (N. Virginia),32,64 GiB,50 Gigabit,0.0000000000
i4g.8xlarge,US East (N. Virginia),32,256 GiB,18750 Megabit,0.0000000000
m5d.24xlarge,US East (N. Virginia),96,384 GiB,25 Gigabit,0.0000000000
c6i.2xlarge,US East (N. Virginia),8,16 GiB,Up to 12500 Megabit,0.3400000000
