AvailabilityZone,Duration,FixedPrice,InstanceType,ProductDescription,ReservedInstancesOfferingId,UsagePrice,CurrencyCode,InstanceTenancy,Marketplace,OfferingClass,OfferingType,PricingDetails,RecurringCharges,Scope
us-east-1a,31536000,0.0,a1.4xlarge,Linux/UNIX,dc845399-5d3e-4207-ade1-60e1431796ad,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.2956, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,0.0,a1.4xlarge,Linux/UNIX,f44cb536-ad86-40ae-aa09-6825e0b42fb0,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.1763, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,0.0,a1.4xlarge,Linux/UNIX,9f6329ea-cafc-4063-88fc-a59e4fbe10f1,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.2027, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,1072.0,a1.4xlarge,Linux/UNIX,4717112c-6411-4a69-8de6-fe4b9832af1b,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.1224, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,1233.0,a1.4xlarge,Linux/UNIX,34e45de1-8dcb-4d7b-b8eb-a375eb5f4354,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.1408, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,2144.0,a1.4xlarge,Linux/UNIX,c15b0ce4-6a19-470b-9bd7-dbfff0cb8901,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0816, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,2466.0,a1.4xlarge,Linux/UNIX,eb8dc5a8-2add-4097-a2fa-ac206f20c0a3,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.0938, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,263.0,a1.large,Linux/UNIX,a6c522eb-f673-4b3c-82eb-7b52ad2be34b,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,302.0,a1.large,Linux/UNIX,8ce20125-d42d-4e04-a604-e41883ca97a7,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,504.0,a1.large,Linux/UNIX,4dadd6f5-0050-4406-81d8-4a875eb7b443,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,604.0,a1.large,Linux/UNIX,8ce0ab07-0d12-45be-82e8-b6f0f3dcc29c,0.0,USD,default,False,convertible,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,0.0,a1.large,Linux/UNIX,b9769ea9-6e37-4aac-85c3-2786254d4281,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.0321, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,0.0,a1.large,Linux/UNIX,fac2f877-fb0f-4f4f-aa34-97d3bcf949cc,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.0369, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,0.0,a1.large,Linux/UNIX,a2c79c90-b0c3-47a3-ac5c-f03a66a282f5,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.022, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,0.0,a1.large,Linux/UNIX,452eadbd-e9e7-4ccc-a342-423d01476ff0,0.0,USD,default,False,convertible,No Upfront,[],"[{'Amount': 0.0253, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,134.0,a1.large,Linux/UNIX,7d058cc4-b094-4e44-88c6-ebee76269801,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0153, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,31536000,154.0,a1.large,Linux/UNIX,09802f8b-c446-4a1b-9ac6-c32b90125e20,0.0,USD,default,False,convertible,Partial Upfront,[],"[{'Amount': 0.0176, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1a,94608000,268.0,a1.large,Linux/UNIX,f6c9cd76-e60d-4305-8a86-3d5ad6ff8abb,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0102, 'Frequency': 'Hourly'}]",Availability Zone
