AvailabilityZone,Duration,FixedPrice,InstanceType,ProductDescription,ReservedInstancesOfferingId,UsagePrice,CurrencyCode,InstanceTenancy,Marketplace,OfferingClass,OfferingType,PricingDetails,RecurringCharges,Scope
us-east-1b,94608000,268.0,a1.large,Linux/UNIX,592565ae-41d7-4b8c-abcb-a0631b038683,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0102, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,131.0,a1.medium,Linux/UNIX,6cba7f89-59ad-4737-9adb-cc81de1b8b28,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,252.0,a1.medium,Linux/UNIX,4cdb303e-2b23-4ce2-b9c4-80eb3ac01297,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,0.0,a1.medium,Linux/UNIX,b6807666-b563-4350-9a93-220ab802c1a5,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.0161, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,0.0,a1.medium,Linux/UNIX,c7f8da97-ec86-4a56-b3c1-40e75f5bcaf2,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.011, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,67.0,a1.medium,Linux/UNIX,efd1828c-0b7c-4658-8e3a-750be423f03f,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0077, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,134.0,a1.medium,Linux/UNIX,2ea0d34c-989c-4285-89e4-d6488804f519,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.0051, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,2102.0,a1.metal,Linux/UNIX,354dc163-b445-481a-b5ef-2f2d5365386a,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,4032.0,a1.metal,Linux/UNIX,92d82909-c788-4ec9-ad27-9f665189fd87,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,0.0,a1.metal,Linux/UNIX,5eafe8c0-4a32-4874-871e-4503064ec673,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.257, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,0.0,a1.metal,Linux/UNIX,27b9526a-20b8-464c-a7a7-e51231a73ebb,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.176, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,1072.0,a1.metal,Linux/UNIX,5683a949-dc50-49e7-a36c-f22bbcee26a3,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.122, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,2144.0,a1.metal,Linux/UNIX,e44a462c-4375-486b-a99d-f819e1267044,0.0,USD,default,False,standard,Partial Upfront,[],"[{'Amount': 0.082, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,525.0,a1.xlarge,Linux/UNIX,679f61fc-8ba3-4f42-9d10-14970d69a591,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,94608000,1008.0,a1.xlarge,Linux/UNIX,ce5903ee-d0e2-4e74-a959-95eff6a5f43a,0.0,USD,default,False,standard,All Upfront,[],"[{'Amount': 0.0, 'Frequency': 'Hourly'}]",Availability Zone
us-east-1b,31536000,0.0,a1.xlarge,Linux/UNIX,ac306538-f2ec-4a5f-924c-96b2fee64e32,0.0,USD,default,False,standard,No Upfront,[],"[{'Amount': 0.0643, 'Frequency': 'Hourly'}]",Availability Zone
